[Strings]
nth  paddr      vaddr      len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
287  0x00007612 0x00407612 4    5    .Themida   ascii   L$\bH
288  0x0000762b 0x0040762b 4    5    .Themida   ascii   D$0H
289  0x0000763e 0x0040763e 4    5    .Themida   ascii   \$\bH
290  0x0000764b 0x0040764b 9    10   .Themida   ascii   VWATAVAWH
291  0x000076db 0x004076db 4    5    .Themida   ascii   L$0D
292  0x000076e9 0x004076e9 4    5    .Themida   ascii   |$0A
293  0x00007700 0x00407700 4    5    .Themida   ascii   D$4 
294  0x00007724 0x00407724 5    6    .Themida   ascii   D$0E3
295  0x0000772c 0x0040772c 4    5    .Themida   ascii   D$ 3
296  0x00007783 0x00407783 8    9    .Themida   ascii   A_A^A\_^
297  0x00007796 0x00407796 4    5    .Themida   ascii   \$\bL
298  0x0000779b 0x0040779b 5    6    .Themida   ascii   L$ WH
299  0x000077aa 0x004077aa 4    5    .Themida   ascii   D$XH
300  0x000077cc 0x004077cc 4    5    .Themida   ascii   D$XH
301  0x000077dc 0x004077dc 4    5    .Themida   ascii   D$XH
302  0x000077e1 0x004077e1 4    5    .Themida   ascii   \$@H
303  0x00007828 0x00407828 7    8    .Themida   ascii   Q\b8L$\eA
304  0x00007838 0x00407838 4    5    .Themida   ascii   A1I\f
305  0x00007854 0x00407854 8    9    .Themida   ascii   A\n2A\t2A\b
306  0x0000787a 0x0040787a 4    5    .Themida   ascii   \$\bH
307  0x000078ea 0x004078ea 4    5    .Themida   ascii   \$0H
308  0x000078ef 0x004078ef 4    5    .Themida   ascii   l$8H
309  0x000078f4 0x004078f4 4    5    .Themida   ascii   t$@H
310  0x0000790e 0x0040790e 4    5    .Themida   ascii   T$(H
311  0x00007917 0x00407917 4    5    .Themida   ascii   D$ D
312  0x00007932 0x00407932 4    5    .Themida   ascii   \$\bH
313  0x0000793f 0x0040793f 6    7    .Themida   ascii   WAVAWH
314  0x0000795f 0x0040795f 7    8    .Themida   ascii   _@H+Y\bH
315  0x00007968 0x00407968 5    6    .Themida   ascii   HH+y\b
316  0x000079a5 0x004079a5 4    5    .Themida   ascii   t\tH+
317  0x000079ae 0x004079ae 4    5    .Themida   ascii   t\aH;
318  0x000079bc 0x004079bc 4    5    .Themida   ascii   \$@H
319  0x000079c4 0x004079c4 4    5    .Themida   ascii   t$PH
320  0x000079c9 0x004079c9 4    5    .Themida   ascii   l$HH
321  0x000079cf 0x004079cf 6    7    .Themida   ascii    A_A^_
322  0x000079da 0x004079da 5    6    .Themida   ascii   \$\bWH
323  0x00007a3c 0x00407a3c 4    5    .Themida   ascii   L$8H
324  0x00007a87 0x00407a87 4    5    .Themida   ascii   \$0H
325  0x00007b0a 0x00407b0a 4    5    .Themida   ascii   @\b@9
326  0x00007b21 0x00407b21 5    6    .Themida   ascii   T$XE3
327  0x00007b57 0x00407b57 4    5    .Themida   ascii   \$`H
328  0x00007b6c 0x00407b6c 9    10   .Themida   ascii   t$ WAVAWH
329  0x00007c27 0x00407c27 4    5    .Themida   ascii   D$PH
330  0x00007c3e 0x00407c3e 4    5    .Themida   ascii   \$WH
331  0x00007c43 0x00407c43 4    5    .Themida   ascii   D$(L
332  0x00007c8c 0x00407c8c 5    6    .Themida   ascii   \$(E3
333  0x00007d08 0x00407d08 4    5    .Themida   ascii   \$XH
334  0x00007d0d 0x00407d0d 4    5    .Themida   ascii   l$`H
335  0x00007d16 0x00407d16 4    5    .Themida   ascii   t$hH
336  0x00007d1c 0x00407d1c 6    7    .Themida   ascii   0A_A^_
337  0x00007d39 0x00407d39 8    9    .Themida   ascii   p WAVAWH
338  0x00007d4d 0x00407d4d 4    5    .Themida   ascii   !p\bA
339  0x00007d91 0x00407d91 4    5    .Themida   ascii   L$@D
340  0x00007dc2 0x00407dc2 4    5    .Themida   ascii   D$@L
341  0x00007dc7 0x00407dc7 4    5    .Themida   ascii   L$@H
342  0x00007dde 0x00407dde 4    5    .Themida   ascii   L$@@
343  0x00007e5e 0x00407e5e 4    5    .Themida   ascii   D$@L
344  0x00007e77 0x00407e77 4    5    .Themida   ascii   t$XH
345  0x00007e7c 0x00407e7c 4    5    .Themida   ascii   l$PH
346  0x00007e82 0x00407e82 6    7    .Themida   ascii    A_A^_
347  0x00007eb1 0x00407eb1 4    5    .Themida   ascii   D$8H
348  0x00007eb6 0x00407eb6 4    5    .Themida   ascii   T$0H
349  0x00007ec6 0x00407ec6 4    5    .Themida   ascii   D$0H
350  0x00007f09 0x00407f09 5    6    .Themida   ascii   x AVH
351  0x00007f1d 0x00407f1d 4    5    .Themida   ascii   \$`I
352  0x00007f46 0x00407f46 4    5    .Themida   ascii   \$ L
353  0x00007f59 0x00407f59 4    5    .Themida   ascii   \$@H
354  0x00007f5e 0x00407f5e 4    5    .Themida   ascii   l$HH
355  0x00007f63 0x00407f63 4    5    .Themida   ascii   t$PH
356  0x00007f68 0x00407f68 4    5    .Themida   ascii   |$XH
357  0x00007f8d 0x00407f8d 5    6    .Themida   ascii   L$8E3
358  0x00007fc6 0x00407fc6 5    6    .Themida   ascii   f9A\bu
359  0x00007fd4 0x00407fd4 5    6    .Themida   ascii   L$8E3
360  0x00008011 0x00408011 5    6    .Themida   ascii   L$8E3
361  0x00008056 0x00408056 5    6    .Themida   ascii   L$8E3
362  0x00008083 0x00408083 5    6    .Themida   ascii   |$ UH
363  0x0000808d 0x0040808d 4    6    .Themida   utf8    03ۉ] blocks=Basic Latin,Arabic
364  0x000080b6 0x004080b6 4    5    .Themida   ascii   D$ \a
365  0x000080dd 0x004080dd 4    6    .Themida   utf8    ȍS\aD blocks=Latin Extended-B,Basic Latin
366  0x00008121 0x00408121 4    5    .Themida   ascii   \$PH
367  0x00008211 0x00408211 12   13   .Themida   ascii   UVWATAUAVAWH
368  0x00008234 0x00408234 4    5    .Themida   ascii   D$@H
369  0x0000825b 0x0040825b 4    5    .Themida   ascii   L$@L
370  0x0000826b 0x0040826b 4    5    .Themida   ascii   @89u
371  0x00008297 0x00408297 4    5    .Themida   ascii   L$`D
372  0x000082bb 0x004082bb 5    6    .Themida   ascii   L$`I+
373  0x000082c4 0x004082c4 4    5    .Themida   ascii   @89u
374  0x000082d5 0x004082d5 5    6    .Themida   ascii   L$`I+
375  0x000082de 0x004082de 4    5    .Themida   ascii   @89u
376  0x000082e5 0x004082e5 4    5    .Themida   ascii   D$@3
377  0x000082fa 0x004082fa 4    5    .Themida   ascii   |$0H
378  0x000082ff 0x004082ff 4    5    .Themida   ascii   L$`A
379  0x00008314 0x00408314 7    9    .Themida   utf8    E3ɉ\$ E blocks=Basic Latin,Latin Extended-B
380  0x00008345 0x00408345 4    5    .Themida   ascii   |$0H
381  0x0000834d 0x0040834d 5    6    .Themida   ascii   |$(E3
