[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
300  0x0000423a 0x00404e3a 6   7    CODE    ascii   t&J|\e9
301  0x00004287 0x00404e87 4   5    CODE    ascii   N|*9
302  0x000042b4 0x00404eb4 4   6    CODE    utf8    _^[Å blocks=Basic Latin,Latin-1 Supplement
303  0x000042be 0x00404ebe 5   6    CODE    ascii   t1SVW
304  0x000042e4 0x00404ee4 4   5    CODE    ascii   _^t\f
305  0x000042f9 0x00404ef9 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
306  0x0000435d 0x00404f5d 6   9    CODE    utf8    ;_^[Ë0 blocks=Basic Latin,Latin-1 Supplement
307  0x000043ca 0x00404fca 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
308  0x000043f4 0x00404ff4 4   5    CODE    ascii   SVWU
309  0x00004479 0x00405079 5   8    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
310  0x000044a8 0x004050a8 11  12   CODE    ascii   t-Rf;\nt f;J
311  0x00004537 0x00405137 4   5    CODE    ascii   uAJt
312  0x00004589 0x00405189 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
313  0x000045d2 0x004051d2 4   5    CODE    ascii   _^[]
314  0x0000461f 0x0040521f 5   7    CODE    utf8    Z^[Ð1 blocks=Basic Latin,Latin-1 Supplement
315  0x0000464f 0x0040524f 4   6    CODE    utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
316  0x0000466e 0x0040526e 7   8    CODE    ascii   <\nt"<\vt
317  0x00004676 0x00405276 9   10   CODE    ascii   <\ft$<\rt3<
318  0x000046b3 0x004052b3 4   6    CODE    utf8    ՋT.\n blocks=Armenian,Basic Latin
319  0x000046e2 0x004052e2 6   8    CODE    utf8    ]_^[Ð1 blocks=Basic Latin,Latin-1 Supplement
320  0x00004715 0x00405315 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
321  0x0000471d 0x0040531d 4   5    CODE    ascii   =\f0C
322  0x0000473d 0x0040533d 4   5    CODE    ascii   PSVW
323  0x0000474e 0x0040534e 17  18   CODE    ascii   <\nt%<\vt><\ftQ<\rt\<
