[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1460 0x0001ef5c 0x1002055c 30  31   .rdata  ascii   Software\Microsoft\WAB\DLLPath
1461 0x0001f556 0x10020b56 17  18   .rdata  ascii   FindCloseUrlCache
1462 0x0001f56a 0x10020b6a 20  21   .rdata  ascii   DeleteUrlCacheEntryW
1463 0x0001f582 0x10020b82 22  23   .rdata  ascii   FindNextUrlCacheEntryW
1464 0x0001f59c 0x10020b9c 23  24   .rdata  ascii   FindFirstUrlCacheEntryW
1465 0x0001f5b6 0x10020bb6 25  26   .rdata  ascii   InternetSetStatusCallback
1466 0x0001f5d2 0x10020bd2 16  17   .rdata  ascii   InternetReadFile
1467 0x0001f5e6 0x10020be6 16  17   .rdata  ascii   HttpSendRequestA
1468 0x0001f5fa 0x10020bfa 16  17   .rdata  ascii   InternetConnectW
1469 0x0001f60e 0x10020c0e 14  15   .rdata  ascii   HttpQueryInfoW
1470 0x0001f620 0x10020c20 23  24   .rdata  ascii   FindFirstUrlCacheEntryA
1471 0x0001f63a 0x10020c3a 16  17   .rdata  ascii   InternetConnectA
1472 0x0001f64e 0x10020c4e 22  23   .rdata  ascii   FindNextUrlCacheEntryA
1473 0x0001f668 0x10020c68 20  21   .rdata  ascii   InternetQueryOptionW
1474 0x0001f680 0x10020c80 17  18   .rdata  ascii   InternetWriteFile
1475 0x0001f694 0x10020c94 19  20   .rdata  ascii   InternetReadFileExW
1476 0x0001f6aa 0x10020caa 16  17   .rdata  ascii   HttpSendRequestW
1477 0x0001f6be 0x10020cbe 20  21   .rdata  ascii   InternetQueryOptionA
1478 0x0001f6d6 0x10020cd6 26  27   .rdata  ascii   InternetQueryDataAvailable
1479 0x0001f6f4 0x10020cf4 19  20   .rdata  ascii   DeleteUrlCacheEntry
1480 0x0001f70a 0x10020d0a 19  20   .rdata  ascii   InternetReadFileExA
1481 0x0001f720 0x10020d20 18  19   .rdata  ascii   InternetGetCookieA
1482 0x0001f736 0x10020d36 22  23   .rdata  ascii   HttpAddRequestHeadersA
1483 0x0001f750 0x10020d50 14  15   .rdata  ascii   HttpQueryInfoA
1484 0x0001f762 0x10020d62 18  19   .rdata  ascii   InternetSetOptionA
1485 0x0001f778 0x10020d78 15  16   .rdata  ascii   PathFileExistsW
1486 0x0001f78a 0x10020d8a 7   8    .rdata  ascii   StrChrW
1487 0x0001f794 0x10020d94 7   8    .rdata  ascii   StrChrA
1488 0x0001f79e 0x10020d9e 18  19   .rdata  ascii   PathFindExtensionA
1489 0x0001f7b4 0x10020db4 8   9    .rdata  ascii   StrTrimA
1490 0x0001f7c0 0x10020dc0 9   10   .rdata  ascii   StrToIntA
1491 0x0001f7cc 0x10020dcc 8   9    .rdata  ascii   StrStrIA
1492 0x0001f7d8 0x10020dd8 8   9    .rdata  ascii   StrStrIW
1493 0x0001f7e4 0x10020de4 12  13   .rdata  ascii   SHDeleteKeyA
1494 0x0001f7f4 0x10020df4 12  13   .rdata  ascii   PathCombineW
1495 0x0001f804 0x10020e04 8   9    .rdata  ascii   StrRChrA
1496 0x0001f810 0x10020e10 7   8    .rdata  ascii   StrStrW
1497 0x0001f81a 0x10020e1a 7   8    .rdata  ascii   StrStrA
1498 0x0001f824 0x10020e24 17  18   .rdata  ascii   PathFindFileNameA
1499 0x0001f838 0x10020e38 11  12   .rdata  ascii   StrToIntExA
1500 0x0001f846 0x10020e46 17  18   .rdata  ascii   PathFindFileNameW
1501 0x0001f85a 0x10020e5a 8   9    .rdata  ascii   StrCmpIW
1502 0x0001f866 0x10020e66 8   9    .rdata  ascii   StrRChrW
1503 0x0001f872 0x10020e72 8   9    .rdata  ascii   StrCmpNA
1504 0x0001f87e 0x10020e7e 10  11   .rdata  ascii   wnsprintfA
1505 0x0001f88c 0x10020e8c 7   8    .rdata  ascii   StrDupA
1506 0x0001f896 0x10020e96 8   9    .rdata  ascii   StrTrimW
1507 0x0001f8a2 0x10020ea2 20  21   .rdata  ascii   WSAEnumNetworkEvents
1508 0x0001f8ba 0x10020eba 7   8    .rdata  ascii   WSASend
1509 0x0001f8c4 0x10020ec4 11  12   .rdata  ascii   WSASetEvent
1510 0x0001f8d2 0x10020ed2 13  14   .rdata  ascii   WSACloseEvent
1511 0x0001f8e2 0x10020ee2 7   8    .rdata  ascii   WSARecv
1512 0x0001f8ec 0x10020eec 14  15   .rdata  ascii   WSACreateEvent
1513 0x0001f8fe 0x10020efe 14  15   .rdata  ascii   WSAEventSelect
1514 0x0001f910 0x10020f10 14  15   .rdata  ascii   CertCloseStore
1515 0x0001f922 0x10020f22 20  21   .rdata  ascii   CertOpenSystemStoreW
1516 0x0001f93a 0x10020f3a 27  28   .rdata  ascii   CertEnumCertificatesInStore
1517 0x0001f958 0x10020f58 20  21   .rdata  ascii   PFXExportCertStoreEx
1518 0x0001f970 0x10020f70 19  20   .rdata  ascii   GetFileVersionInfoW
1519 0x0001f986 0x10020f86 23  24   .rdata  ascii   GetFileVersionInfoSizeW
1520 0x0001f9a0 0x10020fa0 14  15   .rdata  ascii   VerQueryValueA
1521 0x0001f9b2 0x10020fb2 9   10   .rdata  ascii   wsprintfA
1522 0x0001f9be 0x10020fbe 13  14   .rdata  ascii   ExitWindowsEx
1523 0x0001f9ce 0x10020fce 14  15   .rdata  ascii   GetShellWindow
1524 0x0001f9e0 0x10020fe0 24  25   .rdata  ascii   GetWindowThreadProcessId
1525 0x0001f9fc 0x10020ffc 15  16   .rdata  ascii   CryptGetUserKey
1526 0x0001fa0e 0x1002100e 11  12   .rdata  ascii   RegOpenKeyA
1527 0x0001fa1c 0x1002101c 14  15   .rdata  ascii   RegSetValueExA
1528 0x0001fa2e 0x1002102e 13  14   .rdata  ascii   RegCreateKeyA
1529 0x0001fa3e 0x1002103e 11  12   .rdata  ascii   RegCloseKey
1530 0x0001fa4c 0x1002104c 14  15   .rdata  ascii   RegSetValueExW
1531 0x0001fa5e 0x1002105e 15  16   .rdata  ascii   RegDeleteValueA
1532 0x0001fa70 0x10021070 16  17   .rdata  ascii   RegQueryValueExA
1533 0x0001fa84 0x10021084 13  14   .rdata  ascii   RegEnumValueA
1534 0x0001fa94 0x10021094 23  24   .rdata  ascii   RegNotifyChangeKeyValue
1535 0x0001faae 0x100210ae 12  13   .rdata  ascii   GetUserNameA
1536 0x0001fabe 0x100210be 16  17   .rdata  ascii   SHGetFolderPathA
1537 0x0001fad2 0x100210d2 16  17   .rdata  ascii   SHGetFolderPathW
1538 0x0001fae6 0x100210e6 21  22   .rdata  ascii   CreateStreamOnHGlobal
1539 0x0001fafe 0x100210fe 12  13   .rdata  ascii   CoCreateGuid
1540 0x0001fb0e 0x1002110e 18  19   .rdata  ascii   EnumProcessModules
1541 0x0001fb24 0x10021124 20  21   .rdata  ascii   GetModuleFileNameExW
1542 0x0001fb3c 0x1002113c 18  19   .rdata  ascii   GetModuleBaseNameA
1543 0x0001fb52 0x10021152 24  25   .rdata  ascii   GetProcessImageFileNameW
1544 0x0001fb6e 0x1002116e 16  17   .rdata  ascii   HttpOpenRequestA
1545 0x0001fb82 0x10021182 13  14   .rdata  ascii   InternetOpenA
1546 0x0001fb92 0x10021192 19  20   .rdata  ascii   InternetCloseHandle
1547 0x0001fba8 0x100211a8 24  25   .rdata  ascii   InternetCanonicalizeUrlA
1548 0x0001fbc4 0x100211c4 10  11   .rdata  ascii   wnsprintfW
1549 0x0001fbd2 0x100211d2 9   10   .rdata  ascii   StrCmpNIW
1550 0x0001fbde 0x100211de 11  12   .rdata  ascii   StrToIntExW
1551 0x0001fbec 0x100211ec 8   9    .rdata  ascii   WSAIoctl
1552 0x0001fbf8 0x100211f8 18  19   .rdata  ascii   CryptUnprotectData
1553 0x0001fc0e 0x1002120e 27  28   .rdata  ascii   SetupDiGetDeviceInstanceIdA
1554 0x0001fc2c 0x1002122c 28  29   .rdata  ascii   SetupDiDestroyDeviceInfoList
1555 0x0001fc4c 0x1002124c 21  22   .rdata  ascii   SetupDiEnumDeviceInfo
1556 0x0001fc64 0x10021264 20  21   .rdata  ascii   SetupDiGetClassDevsA
1557 0x0001fc7c 0x1002127c 33  34   .rdata  ascii   SetupDiGetDeviceRegistryPropertyA
1558 0x0001fca0 0x100212a0 12  13   .rdata  ascii   AVIFileOpenW
1559 0x0001fcb0 0x100212b0 20  21   .rdata  ascii   AVIFileCreateStreamA
1560 0x0001fcc8 0x100212c8 18  19   .rdata  ascii   AVISaveOptionsFree
1561 0x0001fcde 0x100212de 11  12   .rdata  ascii   AVIFileInit
1562 0x0001fcec 0x100212ec 23  24   .rdata  ascii   AVIMakeCompressedStream
1563 0x0001fd06 0x10021306 16  17   .rdata  ascii   AVIStreamRelease
1564 0x0001fd1a 0x1002131a 14  15   .rdata  ascii   AVIFileRelease
1565 0x0001fd2c 0x1002132c 14  15   .rdata  ascii   AVIStreamWrite
1566 0x0001fd3e 0x1002133e 18  19   .rdata  ascii   AVIStreamSetFormat
1567 0x0001fd54 0x10021354 11  12   .rdata  ascii   AVIFileExit
1568 0x0001fd62 0x10021362 9   10   .rdata  ascii   wsprintfW
1569 0x0001fd6e 0x1002136e 13  14   .rdata  ascii   GetWindowRect
1570 0x0001fd7e 0x1002137e 14  15   .rdata  ascii   GetWindowTextW
1571 0x0001fd90 0x10021390 11  12   .rdata  ascii   GetAncestor
1572 0x0001fd9e 0x1002139e 16  17   .rdata  ascii   GetAsyncKeyState
1573 0x0001fdb2 0x100213b2 17  18   .rdata  ascii   GetKeyboardLayout
1574 0x0001fdc6 0x100213c6 14  15   .rdata  ascii   GetWindowTextA
1575 0x0001fdd8 0x100213d8 11  12   .rdata  ascii   ToUnicodeEx
1576 0x0001fde6 0x100213e6 16  17   .rdata  ascii   GetKeyboardState
1577 0x0001fdfa 0x100213fa 13  14   .rdata  ascii   GetClassNameA
1578 0x0001fe0a 0x1002140a 19  20   .rdata  ascii   GetForegroundWindow
1579 0x0001fe20 0x10021420 17  18   .rdata  ascii   SetWindowsHookExA
1580 0x0001fe34 0x10021434 14  15   .rdata  ascii   CallNextHookEx
1581 0x0001fe46 0x10021446 17  18   .rdata  ascii   AttachThreadInput
1582 0x0001fe5a 0x1002145a 8   9    .rdata  ascii   GetFocus
1583 0x0001fe66 0x10021466 19  20   .rdata  ascii   UnhookWindowsHookEx
1584 0x0001fe7c 0x1002147c 12  13   .rdata  ascii   SendMessageA
1585 0x0001fe8c 0x1002148c 18  19   .rdata  ascii   SetClipboardViewer
1586 0x0001fea2 0x100214a2 20  21   .rdata  ascii   ChangeClipboardChain
1587 0x0001feba 0x100214ba 16  17   .rdata  ascii   GetClipboardData
1588 0x0001fece 0x100214ce 26  27   .rdata  ascii   IsClipboardFormatAvailable
1589 0x0001feec 0x100214ec 13  14   .rdata  ascii   OpenClipboard
1590 0x0001fefc 0x100214fc 18  19   .rdata  ascii   SendNotifyMessageA
1591 0x0001ff12 0x10021512 14  15   .rdata  ascii   CloseClipboard
1592 0x0001ff24 0x10021524 17  18   .rdata  ascii   GetClipboardOwner
1593 0x0001ff38 0x10021538 18  19   .rdata  ascii   PostThreadMessageA
1594 0x0001ff4e 0x1002154e 14  15   .rdata  ascii   RegisterClassA
1595 0x0001ff60 0x10021560 11  12   .rdata  ascii   GetMessageA
1596 0x0001ff6e 0x1002156e 16  17   .rdata  ascii   TranslateMessage
1597 0x0001ff82 0x10021582 13  14   .rdata  ascii   DestroyWindow
1598 0x0001ff92 0x10021592 14  15   .rdata  ascii   DefWindowProcA
1599 0x0001ffa4 0x100215a4 15  16   .rdata  ascii   CreateWindowExA
1600 0x0001ffb6 0x100215b6 14  15   .rdata  ascii   GetWindowLongA
1601 0x0001ffc8 0x100215c8 16  17   .rdata  ascii   UnregisterClassA
1602 0x0001ffdc 0x100215dc 14  15   .rdata  ascii   SetWindowLongA
1603 0x0001ffee 0x100215ee 16  17   .rdata  ascii   DispatchMessageA
1604 0x00020002 0x10021602 28  29   .rdata  ascii   UnregisterDeviceNotification
1605 0x00020022 0x10021622 27  28   .rdata  ascii   RegisterDeviceNotificationA
1606 0x00020040 0x10021640 7   8    .rdata  ascii   SetRect
1607 0x0002004a 0x1002164a 13  14   .rdata  ascii   GetCursorInfo
1608 0x0002005a 0x1002165a 16  17   .rdata  ascii   GetSystemMetrics
1609 0x0002006e 0x1002166e 5   6    .rdata  ascii   GetDC
1610 0x00020076 0x10021676 11  12   .rdata  ascii   GetIconInfo
1611 0x00020084 0x10021684 8   9    .rdata  ascii   DrawIcon
1612 0x00020090 0x10021690 9   10   .rdata  ascii   ReleaseDC
1613 0x0002009c 0x1002169c 18  19   .rdata  ascii   CreateCompatibleDC
1614 0x000200b2 0x100216b2 12  13   .rdata  ascii   SelectObject
1615 0x000200c2 0x100216c2 12  13   .rdata  ascii   DeleteObject
1616 0x000200d2 0x100216d2 6   7    .rdata  ascii   BitBlt
1617 0x000200dc 0x100216dc 22  23   .rdata  ascii   CreateCompatibleBitmap
1618 0x000200f6 0x100216f6 10  11   .rdata  ascii   GetObjectA
1619 0x00020104 0x10021704 9   10   .rdata  ascii   GetDIBits
1620 0x00020110 0x10021710 13  14   .rdata  ascii   GetDeviceCaps
1621 0x00020120 0x10021720 52  53   .rdata  ascii   ConvertStringSecurityDescriptorToSecurityDescriptorA
1622 0x00020158 0x10021758 16  17   .rdata  ascii   RegQueryValueExW
1623 0x0002016c 0x1002176c 11  12   .rdata  ascii   RegOpenKeyW
1624 0x0002017a 0x1002177a 13  14   .rdata  ascii   RegOpenKeyExA
1625 0x0002018a 0x1002178a 15  16   .rdata  ascii   RegDeleteValueW
1626 0x0002019c 0x1002179c 12  13   .rdata  ascii   GetUserNameW
1627 0x000201ac 0x100217ac 13  14   .rdata  ascii   RegOpenKeyExW
1628 0x000201bc 0x100217bc 11  12   .rdata  ascii   RegEnumKeyW
1629 0x000201ca 0x100217ca 13  14   .rdata  ascii   RegEnumValueW
1630 0x000201da 0x100217da 14  15   .rdata  ascii   RegQueryValueA
1631 0x000201ec 0x100217ec 13  14   .rdata  ascii   ShellExecuteW
1632 0x000201fc 0x100217fc 16  17   .rdata  ascii   CoCreateInstance
1633 0x00020210 0x10021810 14  15   .rdata  ascii   CoUninitialize
1634 0x00020222 0x10021822 14  15   .rdata  ascii   CoInitializeEx
1635 0x00020866 0x10021e66 8   9    .rdata  ascii   wcstombs
1636 0x00020872 0x10021e72 6   7    .rdata  ascii   memcpy
1637 0x0002087c 0x10021e7c 16  17   .rdata  ascii   RtlImageNtHeader
1638 0x00020890 0x10021e90 8   9    .rdata  ascii   mbstowcs
1639 0x0002089c 0x10021e9c 18  19   .rdata  ascii   RtlAdjustPrivilege
1640 0x000208b2 0x10021eb2 10  11   .rdata  ascii   ZwQueryKey
1641 0x000208c0 0x10021ec0 22  23   .rdata  ascii   RtlUpcaseUnicodeString
1642 0x000208da 0x10021eda 20  21   .rdata  ascii   RtlFreeUnicodeString
1643 0x000208f2 0x10021ef2 6   7    .rdata  ascii   memset
1644 0x000208fc 0x10021efc 6   7    .rdata  ascii   wcscpy
1645 0x00020906 0x10021f06 7   8    .rdata  ascii   memmove
1646 0x00020910 0x10021f10 7   8    .rdata  ascii   _wcsupr
1647 0x0002091a 0x10021f1a 7   8    .rdata  ascii   _strupr
1648 0x00020924 0x10021f24 9   10   .rdata  ascii   _snprintf
1649 0x0002092f 0x10021f2f 8   9    .rdata  ascii   tdll.dll
1650 0x0002093a 0x10021f3a 8   9    .rdata  ascii   HeapFree
1651 0x00020946 0x10021f46 19  20   .rdata  ascii   WaitForSingleObject
1652 0x0002095c 0x10021f5c 11  12   .rdata  ascii   CloseHandle
1653 0x0002096a 0x10021f6a 12  13   .rdata  ascii   GetLastError
1654 0x0002097a 0x10021f7a 11  12   .rdata  ascii   DeleteFileW
1655 0x00020988 0x10021f88 12  13   .rdata  ascii   CreateThread
1656 0x00020998 0x10021f98 10  11   .rdata  ascii   ResetEvent
1657 0x000209a6 0x10021fa6 9   10   .rdata  ascii   HeapAlloc
1658 0x000209b2 0x10021fb2 11  12   .rdata  ascii   CreateFileA
1659 0x000209c0 0x10021fc0 8   9    .rdata  ascii   lstrcatA
1660 0x000209cc 0x10021fcc 9   10   .rdata  ascii   WriteFile
1661 0x000209d8 0x10021fd8 8   9    .rdata  ascii   lstrlenA
1662 0x000209e4 0x10021fe4 16  17   .rdata  ascii   CreateDirectoryA
1663 0x000209f8 0x10021ff8 16  17   .rdata  ascii   RemoveDirectoryA
1664 0x00020a0c 0x1002200c 11  12   .rdata  ascii   DeleteFileA
1665 0x00020a1a 0x1002201a 8   9    .rdata  ascii   lstrcpyA
1666 0x00020a26 0x10022026 12  13   .rdata  ascii   LoadLibraryA
1667 0x00020a36 0x10022036 8   9    .rdata  ascii   SetEvent
1668 0x00020a42 0x10022042 11  12   .rdata  ascii   HeapReAlloc
1669 0x00020a50 0x10022050 23  24   .rdata  ascii   GetSystemTimeAsFileTime
1670 0x00020a6a 0x1002206a 20  21   .rdata  ascii   InterlockedIncrement
1671 0x00020a82 0x10022082 20  21   .rdata  ascii   InterlockedDecrement
1672 0x00020a9a 0x1002209a 11  12   .rdata  ascii   HeapDestroy
1673 0x00020aa8 0x100220a8 10  11   .rdata  ascii   HeapCreate
1674 0x00020ab6 0x100220b6 16  17   .rdata  ascii   GetModuleHandleA
1675 0x00020aca 0x100220ca 14  15   .rdata  ascii   SwitchToThread
1676 0x00020adc 0x100220dc 11  12   .rdata  ascii   CreateFileW
1677 0x00020aea 0x100220ea 8   9    .rdata  ascii   lstrcatW
1678 0x00020af6 0x100220f6 11  12   .rdata  ascii   ExitProcess
1679 0x00020b04 0x10022104 15  16   .rdata  ascii   GetCommandLineW
1680 0x00020b16 0x10022116 16  17   .rdata  ascii   SetWaitableTimer
1681 0x00020b2a 0x1002212a 5   6    .rdata  ascii   Sleep
1682 0x00020b32 0x10022132 12  13   .rdata  ascii   GetTickCount
1683 0x00020b42 0x10022142 18  19   .rdata  ascii   GetCurrentThreadId
1684 0x00020b58 0x10022158 9   10   .rdata  ascii   CopyFileW
1685 0x00020b64 0x10022164 15  16   .rdata  ascii   DuplicateHandle
1686 0x00020b76 0x10022176 16  17   .rdata  ascii   GetCurrentThread
1687 0x00020b8a 0x1002218a 8   9    .rdata  ascii   lstrlenW
1688 0x00020b96 0x10022196 12  13   .rdata  ascii   CreateEventA
1689 0x00020ba6 0x100221a6 20  21   .rdata  ascii   GetWindowsDirectoryA
1690 0x00020bbe 0x100221be 19  20   .rdata  ascii   InterlockedExchange
1691 0x00020bd4 0x100221d4 16  17   .rdata  ascii   CreateDirectoryW
1692 0x00020be8 0x100221e8 12  13   .rdata  ascii   GetTempPathA
1693 0x00020bf8 0x100221f8 13  14   .rdata  ascii   SuspendThread
1694 0x00020c08 0x10022208 12  13   .rdata  ascii   ResumeThread
1695 0x00020c18 0x10022218 11  12   .rdata  ascii   OpenProcess
1696 0x00020c26 0x10022226 16  17   .rdata  ascii   TerminateProcess
1697 0x00020c3a 0x1002223a 9   10   .rdata  ascii   lstrcmpiW
1698 0x00020c46 0x10022246 8   9    .rdata  ascii   lstrcpyW
1699 0x00020c52 0x10022252 22  23   .rdata  ascii   WaitForMultipleObjects
1700 0x00020c6c 0x1002226c 12  13   .rdata  ascii   SetLastError
1701 0x00020c7c 0x1002227c 9   10   .rdata  ascii   lstrcmpiA
1702 0x00020c88 0x10022288 12  13   .rdata  ascii   CreateMutexA
1703 0x00020c98 0x10022298 8   9    .rdata  ascii   lstrcmpA
1704 0x00020ca4 0x100222a4 18  19   .rdata  ascii   OpenWaitableTimerA
1705 0x00020cba 0x100222ba 10  11   .rdata  ascii   OpenMutexA
1706 0x00020cc8 0x100222c8 12  13   .rdata  ascii   ReleaseMutex
1707 0x00020cd8 0x100222d8 13  14   .rdata  ascii   MapViewOfFile
1708 0x00020ce8 0x100222e8 15  16   .rdata  ascii   UnmapViewOfFile
1709 0x00020cfa 0x100222fa 20  21   .rdata  ascii   CreateWaitableTimerA
1710 0x00020d12 0x10022312 25  26   .rdata  ascii   InitializeCriticalSection
1711 0x00020d2e 0x1002232e 20  21   .rdata  ascii   EnterCriticalSection
1712 0x00020d46 0x10022346 20  21   .rdata  ascii   LeaveCriticalSection
1713 0x00020d5e 0x1002235e 14  15   .rdata  ascii   UnregisterWait
1714 0x00020d70 0x10022370 8   9    .rdata  ascii   TlsAlloc
1715 0x00020d7c 0x1002237c 27  28   .rdata  ascii   RegisterWaitForSingleObject
1716 0x00020d9a 0x1002239a 11  12   .rdata  ascii   TlsGetValue
1717 0x00020da8 0x100223a8 11  12   .rdata  ascii   TlsSetValue
1718 0x00020db6 0x100223b6 14  15   .rdata  ascii   LoadLibraryExW
1719 0x00020dc8 0x100223c8 12  13   .rdata  ascii   VirtualAlloc
1720 0x00020dd8 0x100223d8 14  15   .rdata  ascii   VirtualProtect
1721 0x00020dea 0x100223ea 10  11   .rdata  ascii   OpenEventA
1722 0x00020df8 0x100223f8 14  15   .rdata  ascii   GetProcAddress
1723 0x00020e0a 0x1002240a 13  14   .rdata  ascii   GetDriveTypeW
1724 0x00020e1a 0x1002241a 19  20   .rdata  ascii   WideCharToMultiByte
1725 0x00020e30 0x10022430 16  17   .rdata  ascii   OpenFileMappingA
1726 0x00020e44 0x10022444 23  24   .rdata  ascii   GetLogicalDriveStringsW
1727 0x00020e5e 0x1002245e 18  19   .rdata  ascii   GetFileAttributesA
1728 0x00020e74 0x10022474 18  19   .rdata  ascii   GetExitCodeProcess
1729 0x00020e8a 0x1002248a 18  19   .rdata  ascii   GetFileAttributesW
1730 0x00020ea0 0x100224a0 18  19   .rdata  ascii   CreateFileMappingA
1731 0x00020eb6 0x100224b6 14  15   .rdata  ascii   CreateProcessA
1732 0x00020ec8 0x100224c8 11  12   .rdata  ascii   GetFileSize
1733 0x00020ed6 0x100224d6 9   10   .rdata  ascii   lstrcpynA
1734 0x00020ee2 0x100224e2 10  11   .rdata  ascii   GlobalLock
1735 0x00020ef0 0x100224f0 12  13   .rdata  ascii   GlobalUnlock
1736 0x00020f00 0x10022500 9   10   .rdata  ascii   LocalFree
1737 0x00020f0c 0x1002250c 12  13   .rdata  ascii   Thread32Next
1738 0x00020f1c 0x1002251c 24  25   .rdata  ascii   CreateToolhelp32Snapshot
1739 0x00020f38 0x10022538 12  13   .rdata  ascii   QueueUserAPC
1740 0x00020f48 0x10022548 13  14   .rdata  ascii   Thread32First
1741 0x00020f58 0x10022558 10  11   .rdata  ascii   OpenThread
1742 0x00020f66 0x10022566 14  15   .rdata  ascii   CallNamedPipeA
1743 0x00020f78 0x10022578 14  15   .rdata  ascii   WaitNamedPipeA
1744 0x00020f8a 0x1002258a 8   9    .rdata  ascii   ReadFile
1745 0x00020f96 0x10022596 8   9    .rdata  ascii   CancelIo
1746 0x00020fa2 0x100225a2 16  17   .rdata  ascii   ConnectNamedPipe
1747 0x00020fb6 0x100225b6 19  20   .rdata  ascii   GetOverlappedResult
1748 0x00020fcc 0x100225cc 19  20   .rdata  ascii   DisconnectNamedPipe
1749 0x00020fe2 0x100225e2 13  14   .rdata  ascii   GetSystemTime
1750 0x00020ff2 0x100225f2 16  17   .rdata  ascii   FlushFileBuffers
1751 0x00021006 0x10022606 16  17   .rdata  ascii   CreateNamedPipeA
1752 0x0002101a 0x1002261a 30  31   .rdata  ascii   RemoveVectoredExceptionHandler
1753 0x0002103c 0x1002263c 10  11   .rdata  ascii   ExitThread
1754 0x0002104a 0x1002264a 27  28   .rdata  ascii   AddVectoredExceptionHandler
1755 0x00021068 0x10022668 7   8    .rdata  ascii   SleepEx
1756 0x00021072 0x10022672 10  11   .rdata  ascii   LocalAlloc
1757 0x00021080 0x10022680 11  12   .rdata  ascii   FreeLibrary
1758 0x0002108e 0x1002268e 14  15   .rdata  ascii   RaiseException
1759 0x0002109f 0x1002269f 11  12   .rdata  ascii   ERNEL32.dll
1760 0x000210ae 0x100226ae 25  26   .rdata  ascii   ZwQueryInformationProcess
1761 0x000210ca 0x100226ca 24  25   .rdata  ascii   NtQuerySystemInformation
1762 0x000210e6 0x100226e6 21  22   .rdata  ascii   RtlNtStatusToDosError
1763 0x000210fe 0x100226fe 6   7    .rdata  ascii   strcpy
1764 0x00021108 0x10022708 18  19   .rdata  ascii   ZwOpenProcessToken
1765 0x0002111e 0x1002271e 23  24   .rdata  ascii   ZwQueryInformationToken
1766 0x00021138 0x10022738 7   8    .rdata  ascii   ZwClose
1767 0x00021142 0x10022742 13  14   .rdata  ascii   ZwOpenProcess
1768 0x00021152 0x10022752 20  21   .rdata  ascii   NtUnmapViewOfSection
1769 0x0002116a 0x1002276a 18  19   .rdata  ascii   NtMapViewOfSection
1770 0x00021180 0x10022780 15  16   .rdata  ascii   NtCreateSection
1771 0x00021192 0x10022792 7   8    .rdata  ascii   sprintf
1772 0x0002119c 0x1002279c 10  11   .rdata  ascii   GetVersion
1773 0x000211aa 0x100227aa 19  20   .rdata  ascii   GetCurrentProcessId
1774 0x000211c0 0x100227c0 14  15   .rdata  ascii   FindFirstFileW
1775 0x000211d2 0x100227d2 14  15   .rdata  ascii   SetFilePointer
1776 0x000211e4 0x100227e4 25  26   .rdata  ascii   ExpandEnvironmentStringsW
1777 0x00021200 0x10022800 12  13   .rdata  ascii   SetEndOfFile
1778 0x00021210 0x10022810 16  17   .rdata  ascii   GetTempFileNameA
1779 0x00021224 0x10022824 9   10   .rdata  ascii   FindClose
1780 0x00021230 0x10022830 16  17   .rdata  ascii   RemoveDirectoryW
1781 0x00021244 0x10022844 13  14   .rdata  ascii   FindNextFileW
1782 0x00021254 0x10022854 21  22   .rdata  ascii   DeleteCriticalSection
1783 0x0002126c 0x1002286c 11  12   .rdata  ascii   VirtualFree
1784 0x0002127a 0x1002287a 12  13   .rdata  ascii   GetLocalTime
1785 0x0002128a 0x1002288a 18  19   .rdata  ascii   GetModuleFileNameA
1786 0x000212a0 0x100228a0 20  21   .rdata  ascii   FileTimeToSystemTime
1787 0x000212b8 0x100228b8 18  19   .rdata  ascii   GetModuleFileNameW
1788 0x000212ce 0x100228ce 25  26   .rdata  ascii   QueryPerformanceFrequency
1789 0x000212ea 0x100228ea 23  24   .rdata  ascii   QueryPerformanceCounter
1790 0x00021304 0x10022904 25  26   .rdata  ascii   ExpandEnvironmentStringsA
1791 0x00021320 0x10022920 11  12   .rdata  ascii   GetFileTime
1792 0x0002132e 0x1002292e 14  15   .rdata  ascii   FindFirstFileA
1793 0x00021340 0x10022940 15  16   .rdata  ascii   CompareFileTime
1794 0x00021352 0x10022952 13  14   .rdata  ascii   FindNextFileA
1795 0x00021362 0x10022962 17  18   .rdata  ascii   QueueUserWorkItem
1796 0x00021376 0x10022976 23  24   .rdata  ascii   FileTimeToLocalFileTime
1797 0x00021390 0x10022990 16  17   .rdata  ascii   VirtualProtectEx
1798 0x000213a4 0x100229a4 13  14   .rdata  ascii   GetVersionExA
1799 0x000213b4 0x100229b4 16  17   .rdata  ascii   GetComputerNameW
1800 0x000213c8 0x100229c8 8   9    .rdata  ascii   _aulldiv
1801 0x000213d4 0x100229d4 7   8    .rdata  ascii   _allmul
1802 0x000213de 0x100229de 9   10   .rdata  ascii   RtlUnwind
1803 0x000213ea 0x100229ea 20  21   .rdata  ascii   NtQueryVirtualMemory
1804 0x0002142c 0x10022a2c 9   10   .rdata  ascii   rpcss.dll
1805 0x0002169c 0x1002309c 13  14   .data   ascii   MSVCcvidMRLEH
1806 0x000216ab 0x100230ab 13  14   .data   ascii   SUVWATAUAVAWH
1807 0x000216d1 0x100230d1 5   6    .data   ascii   Lcb<H
1808 0x0002173c 0x1002313c 4   5    .data   ascii   N@fE
1809 0x000217c7 0x100231c7 4   5    .data   ascii   D$PH
