[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
298   0x0000302d 0x0072ae2d 4   6    UPX1    utf8    &YȀ\t blocks=Basic Latin,Latin Extended-B
299   0x00003068 0x0072ae68 5   6    UPX1    ascii   (M]:[
300   0x00003079 0x0072ae79 4   5    UPX1    ascii   zJ:}
301   0x000030a4 0x0072aea4 6   8    UPX1    utf8    F!lрLQ blocks=Basic Latin,Cyrillic
302   0x000030da 0x0072aeda 4   6    UPX1    utf8    σq/G blocks=Greek and Coptic,Basic Latin
303   0x000030f4 0x0072aef4 4   5    UPX1    ascii   \aACj
304   0x000030fd 0x0072aefd 5   6    UPX1    ascii   0\vbq$
305   0x0000312b 0x0072af2b 5   6    UPX1    ascii   @z[$1
306   0x0000313f 0x0072af3f 6   7    UPX1    ascii   W8`y~?
307   0x0000317c 0x0072af7c 4   5    UPX1    ascii   b\aw3
308   0x000031b5 0x0072afb5 4   6    UPX1    utf8    9-@j
309   0x00003215 0x0072b015 4   5    UPX1    ascii   Uh)w
310   0x00003223 0x0072b023 4   6    UPX1    utf8    c.ӄ- blocks=Basic Latin,Cyrillic
311   0x00003264 0x0072b064 4   5    UPX1    ascii   ~|%q
312   0x00003302 0x0072b102 5   6    UPX1    ascii   [y |!
313   0x0000331b 0x0072b11b 5   6    UPX1    ascii   Kz$\bK
314   0x00003343 0x0072b143 4   5    UPX1    ascii   +\bX4
315   0x00003379 0x0072b179 5   6    UPX1    ascii   *r*9%
316   0x0000339c 0x0072b19c 5   6    UPX1    ascii   >gJ!P
317   0x000033a6 0x0072b1a6 5   6    UPX1    ascii   XCt))
318   0x00003414 0x0072b214 4   5    UPX1    ascii   ):|/
319   0x00003440 0x0072b240 5   7    UPX1    utf8    ȝ~JX1 blocks=Latin Extended-B,Basic Latin
320   0x0000344f 0x0072b24f 7   8    UPX1    ascii   q=gjs/P
321   0x00003460 0x0072b260 6   8    UPX1    utf8    Tڍ%X<\e blocks=Basic Latin,Arabic
322   0x00003475 0x0072b275 6   7    UPX1    ascii   GxNa\bu
323   0x000034b6 0x0072b2b6 4   5    UPX1    ascii   eb\ad
324   0x000034bb 0x0072b2bb 4   6    UPX1    utf8    ʞD\fI blocks=IPA Extensions,Basic Latin
325   0x000034c9 0x0072b2c9 7   8    UPX1    ascii   |\t|\bTSO
326   0x000034e4 0x0072b2e4 5   6    UPX1    ascii   Zp@;x
327   0x0000352f 0x0072b32f 4   5    UPX1    ascii   :N4<
328   0x0000354d 0x0072b34d 5   6    UPX1    ascii   g!d \e
329   0x00003559 0x0072b359 4   5    UPX1    ascii   QL\ef
