Error parsing resource directory
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
304   0x000034d9 0x007302d9 4   5    UPX1    ascii   tj8z
305   0x000034ea 0x007302ea 5   6    UPX1    ascii   0?oix
306   0x000034fc 0x007302fc 5   6    UPX1    ascii   &xBDT
307   0x0000350d 0x0073030d 5   6    UPX1    ascii   fa<xe
308   0x00003555 0x00730355 4   6    UPX1    utf8    ~>yȄ blocks=Basic Latin,Latin Extended-B
309   0x00003592 0x00730392 5   7    UPX1    utf8    k0Ȭ4s blocks=Basic Latin,Latin Extended-B
310   0x000035a1 0x007303a1 4   5    UPX1    ascii   a\ow
311   0x000035d0 0x007303d0 4   6    UPX1    utf8    5·'? blocks=Basic Latin,Greek and Coptic
312   0x000035fd 0x007303fd 6   7    UPX1    ascii   g4@?\ap
313   0x00003658 0x00730458 4   7    UPX1    utf8    <$͇У blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
314   0x000036b8 0x007304b8 4   6    UPX1    utf8    yй\t3 blocks=Basic Latin,Cyrillic
315   0x000036e5 0x007304e5 5   7    UPX1    utf8    9ّ\n\rZ blocks=Basic Latin,Arabic
316   0x000036f2 0x007304f2 6   8    UPX1    utf8    >b"|˺2 blocks=Basic Latin,Spacing Modifier Letters
317   0x00003722 0x00730522 4   6    UPX1    utf8    ֿ'k8 blocks=Hebrew,Basic Latin
318   0x0000372c 0x0073052c 4   5    UPX1    ascii   Im\vl
319   0x00003777 0x00730577 4   5    UPX1    ascii   L)4X
320   0x000037da 0x007305da 4   7    UPX1    utf8    ɰOGN blocks=IPA Extensions,Basic Latin
321   0x0000383c 0x0073063c 4   5    UPX1    ascii   %T4X
322   0x00003864 0x00730664 5   6    UPX1    ascii   ?x\e&'
323   0x0000389e 0x0073069e 4   5    UPX1    ascii   #qhx
324   0x0000392f 0x0073072f 6   7    UPX1    ascii   K6060z
325   0x0000393a 0x0073073a 5   6    UPX1    ascii   Prntd
326   0x00003940 0x00730740 5   6    UPX1    ascii   \brDt8
327   0x00003981 0x00730781 4   6    UPX1    utf8    .ڮWD blocks=Basic Latin,Arabic
328   0x000039aa 0x007307aa 4   5    UPX1    ascii   T[Bh
329   0x000039fa 0x007307fa 4   5    UPX1    ascii   ZR,'
330   0x00003a50 0x00730850 4   5    UPX1    ascii   ~{ I
331   0x00003a6c 0x0073086c 4   5    UPX1    ascii   t?L1
332   0x00003a73 0x00730873 5   6    UPX1    ascii   i2C0L
333   0x00003a8d 0x0073088d 4   5    UPX1    ascii   Y,`H
334   0x00003ad4 0x007308d4 5   6    UPX1    ascii   @3Hzs
335   0x00003af2 0x007308f2 4   6    UPX1    utf8    86 Q
336   0x00003b1e 0x0073091e 5   6    UPX1    ascii    ge`\
337   0x00003b59 0x00730959 4   5    UPX1    ascii   +m$ 
338   0x00003ba1 0x007309a1 4   5    UPX1    ascii   tQ\nP
