[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
296   0x0000480e 0x0042720e 4   6    .UPX1   utf8    \vB\bh
297   0x00004854 0x00427254 5   6    .UPX1   ascii   Rq~]v
298   0x0000485a 0x0042725a 8   9    .UPX1   ascii   Vly96Ev=
299   0x00004866 0x00427266 4   6    .UPX1   utf8    Nۨm  blocks=Basic Latin,Arabic
300   0x00004879 0x00427279 5   6    .UPX1   ascii   .pIQd
301   0x000048f4 0x004272f4 5   6    .UPX1   ascii   .*'O"
302   0x00004927 0x00427327 4   7    .UPX1   utf8    B\a\e烈 blocks=Basic Latin,CJK Compatibility Ideographs
303   0x0000492e 0x0042732e 5   6    .UPX1   ascii   'Nk2;
304   0x000049a0 0x004273a0 4   5    .UPX1   ascii   ZUW$
305   0x000049b1 0x004273b1 4   5    .UPX1   ascii   w0Ic
306   0x00004a4e 0x0042744e 6   8    .UPX1   utf8    ̙QS):: blocks=Combining Diacritical Marks,Basic Latin
307   0x00004a80 0x00427480 4   6    .UPX1   utf8    ˋ|$\b blocks=Spacing Modifier Letters,Basic Latin
308   0x00004a9e 0x0042749e 4   5    .UPX1   ascii   D$ X
309   0x00004aae 0x004274ae 5   6    .UPX1   ascii   u6`hh
310   0x00004aed 0x004274ed 5   6    .UPX1   ascii   No0l=
311   0x00004b41 0x00427541 5   6    .UPX1   ascii   u_t\th
312   0x00004b9b 0x0042759b 5   6    .UPX1   ascii   h!PGN
313   0x00004cb2 0x004276b2 4   5    .UPX1   ascii   $$`f
314   0x00004cdd 0x004276dd 5   6    .UPX1   ascii   !p}UZ
315   0x00004ce6 0x004276e6 7   8    .UPX1   ascii   yHOp78-
316   0x00004d30 0x00427730 5   6    .UPX1   ascii   4GdhV
317   0x00004d38 0x00427738 4   5    .UPX1   ascii   < )P
318   0x00004d6a 0x0042776a 4   5    .UPX1   ascii   %,lw
319   0x00004d75 0x00427775 4   5    .UPX1   ascii   IY#V
320   0x00004d8b 0x0042778b 4   5    .UPX1   ascii   4$`F
321   0x00004d9d 0x0042779d 16  17   .UPX1   ascii   GetModuleHandleA
322   0x00004e1a 0x0042781a 4   5    .UPX1   ascii   -ZEV
323   0x00004e38 0x00427838 4   5    .UPX1   ascii   9v.]
324   0x00004e83 0x00427883 4   5    .UPX1   ascii   jgt)
325   0x00004eb7 0x004278b7 6   8    .UPX1   utf8    L?(tǠE blocks=Basic Latin,Latin Extended-B
326   0x00004f73 0x00427973 4   6    .UPX1   utf8    .جxn blocks=Basic Latin,Arabic
327   0x00004f88 0x00427988 4   6    .UPX1   utf8    7Á{! blocks=Basic Latin,Latin-1 Supplement
328   0x00004fc6 0x004279c6 4   5    .UPX1   ascii   wT$K
329   0x00005048 0x00427a48 5   7    .UPX1   utf8    /.پ}k blocks=Basic Latin,Arabic
