Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
268  0x00004937 0x00405537 4   5    UPX1    ascii   _?HR
269  0x0000495e 0x0040555e 7   8    UPX1    ascii   >,%b~,_
270  0x00004980 0x00405580 4   5    UPX1    ascii   B`x$
271  0x0000498f 0x0040558f 4   5    UPX1    ascii    x1t
272  0x00004a2a 0x0040562a 4   5    UPX1    ascii   _v^f
273  0x00004a54 0x00405654 4   5    UPX1    ascii   r07>
274  0x00004a69 0x00405669 5   6    UPX1    ascii   k~^4F
275  0x00004a72 0x00405672 5   6    UPX1    ascii   *P?RP
276  0x00004a7b 0x0040567b 4   5    UPX1    ascii   /_H}
277  0x00004ace 0x004056ce 4   7    UPX1    utf8    !SFȀ blocks=Basic Latin,Latin Extended-B
278  0x00004aff 0x004056ff 4   5    UPX1    ascii   Tm^A
279  0x00004b13 0x00405713 7   9    UPX1    utf8    5J^6&Ë_ blocks=Basic Latin,Latin-1 Supplement
280  0x00004b4f 0x0040574f 4   5    UPX1    ascii   KXMp
281  0x00004b5b 0x0040575b 6   7    UPX1    ascii    ?\n!_#
282  0x00004bdd 0x004057dd 5   6    UPX1    ascii   \vP}\ar
283  0x00004c2b 0x0040582b 4   5    UPX1    ascii   M`t?
284  0x00004c4c 0x0040584c 4   5    UPX1    ascii   4u#)
285  0x00004cd4 0x004058d4 4   6    UPX1    utf8    P?x2
286  0x00004cf9 0x004058f9 4   5    UPX1    ascii   _m&y
287  0x00004dd5 0x004059d5 4   5    UPX1    ascii   &@(^
288  0x00004e58 0x00405a58 4   6    UPX1    utf8    hɅ): blocks=Basic Latin,Latin Extended-B
289  0x00004e67 0x00405a67 4   5    UPX1    ascii   j6\bt
290  0x00004eaa 0x00405aaa 10  12   UPX1    utf8    !8x^˾HmI1` blocks=Basic Latin,Spacing Modifier Letters
291  0x00004ece 0x00405ace 4   5    UPX1    ascii   v.zA
292  0x00004ef5 0x00405af5 4   5    UPX1    ascii   \f7C\a
293  0x00004efb 0x00405afb 7   8    UPX1    ascii   X^\f_0[[
294  0x00004f3c 0x00405b3c 6   7    UPX1    ascii    e[C`U
295  0x00004f52 0x00405b52 4   5    UPX1    ascii   }@>+
296  0x00004f7b 0x00405b7b 5   8    UPX1    utf8    YuE尽- blocks=Basic Latin,CJK Unified Ideographs
297  0x0000502c 0x00405c2c 4   6    UPX1    utf8    V4ި? blocks=Basic Latin,Thaana
298  0x0000503f 0x00405c3f 5   6    UPX1    ascii   Kc"`P
299  0x000050e7 0x00405ce7 5   6    UPX1    ascii   w\tf 9
300  0x00005119 0x00405d19 4   5    UPX1    ascii   0~`l
301  0x00005195 0x00405d95 7   8    UPX1    ascii   !Pi\n_H-
302  0x000051f6 0x00405df6 5   6    UPX1    ascii   OUHYw
303  0x00005249 0x00405e49 4   5    UPX1    ascii   ^h,K
304  0x0000529f 0x00405e9f 4   6    UPX1    utf8    ~,Ƌz blocks=Basic Latin,Latin Extended-B
305  0x000052e9 0x00405ee9 4   5    UPX1    ascii   >J><
306  0x0000534b 0x00405f4b 5   6    UPX1    ascii   @>Z\r=
307  0x00005355 0x00405f55 4   5    UPX1    ascii   >H}p
308  0x0000536f 0x00405f6f 7   8    UPX1    ascii   |-]X~wP
309  0x000053a0 0x00405fa0 4   5    UPX1    ascii   \tlD,
310  0x000053be 0x00405fbe 4   5    UPX1    ascii   )T^ 
311  0x000053ea 0x00405fea 4   5    UPX1    ascii   \ax_~
312  0x00005426 0x00406026 4   5    UPX1    ascii   |*cg
313  0x00005469 0x00406069 6   7    UPX1    ascii   3X#(\a?
314  0x000054a0 0x004060a0 4   5    UPX1    ascii   M}P_
315  0x00005591 0x00406191 4   5    UPX1    ascii   \ba_<
316  0x00005599 0x00406199 4   5    UPX1    ascii   >DhN
317  0x000055bd 0x004061bd 6   8    UPX1    utf8    ߩ!cv5; blocks=NKo,Basic Latin
318  0x000055e5 0x004061e5 5   6    UPX1    ascii   ^iG\fv
319  0x00005681 0x00406281 4   8    UPX1    utf8    Ю㤯/> blocks=Cyrillic,CJK Unified Ideographs Extension A,Basic Latin
320  0x000056a3 0x004062a3 4   7    UPX1    utf8    ޢ[4ǖ blocks=Thaana,Basic Latin,Latin Extended-B
321  0x000056fd 0x004062fd 4   5    UPX1    ascii   ^^\vk
322  0x00005748 0x00406348 5   6    UPX1    ascii   x\e\fyE
323  0x000057c4 0x004063c4 4   5    UPX1    ascii   g}h,
324  0x00005858 0x00406458 4   6    UPX1    utf8    D;ҡw blocks=Basic Latin,Cyrillic
325  0x000058ce 0x004064ce 6   7    UPX1    ascii   hRP_2?
326  0x000058f8 0x004064f8 4   5    UPX1    ascii   ?Xt\t
327  0x00005940 0x00406540 5   6    UPX1    ascii   H\v|iu
328  0x00005964 0x00406564 5   7    UPX1    utf8    8<՞4< blocks=Basic Latin,Armenian
329  0x0000599e 0x0040659e 9   10   UPX1    ascii   8~dqD+|>4
330  0x000059c4 0x004065c4 4   5    UPX1    ascii   I<QM
331  0x00005a74 0x00406674 6   7    UPX1    ascii   $'Yy\e\b
332  0x00005a9d 0x0040669d 5   6    UPX1    ascii   pAV.'
333  0x00005b70 0x00406770 6   8    UPX1    utf8    ޭ{ay>Q blocks=Thaana,Basic Latin
