[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
389  0x0000641b 0x0040721b 4   5    .text   ascii   _lPH
390  0x00006420 0x00407220 4   9    .text   utf16le rt.d
391  0x0000642b 0x0040722b 4   9    .text   utf16le msvc
392  0x00006473 0x00407273 6   7    .text   ascii   .pdata
393  0x000064c1 0x004072c1 10  11   .text   ascii   size %d.PH
394  0x000064cc 0x004072cc 10  11   .text   ascii   ion bit PH
395  0x000064d7 0x004072d7 10  11   .text   ascii    relocatPH
396  0x000064e2 0x004072e2 10  11   .text   ascii   n pseudoPH
397  0x000064ed 0x004072ed 9   10   .text   ascii     UnknowP
398  0x000064fe 0x004072fe 10  11   .text   ascii   sion %d.PH
399  0x00006509 0x00407309 10  11   .text   ascii   ocol verPH
400  0x00006514 0x00407314 10  11   .text   ascii   ion protPH
401  0x0000651f 0x0040731f 10  11   .text   ascii    relocatPH
402  0x0000652a 0x0040732a 10  11   .text   ascii   n pseudoPH
403  0x00006535 0x00407335 10  11   .text   ascii     UnknowPH
404  0x00006540 0x00407340 6   7    .text   ascii   e 0x%x
405  0x0000654b 0x0040734b 10  11   .text   ascii   with codPH
406  0x00006556 0x00407356 10  11   .text   ascii    failed PH
407  0x00006561 0x00407361 10  11   .text   ascii   lProtectPH
408  0x0000656c 0x0040736c 9   10   .text   ascii     VirtuaP
409  0x0000657d 0x0040737d 10  11   .text   ascii   dress %pPH
410  0x00006588 0x00407388 10  11   .text   ascii   es at adPH
411  0x00006593 0x00407393 10  11   .text   ascii   r %d bytPH
412  0x0000659e 0x0040739e 10  11   .text   ascii   ailed foPH
413  0x000065a9 0x004073a9 10  11   .text   ascii   lQuery fPH
414  0x000065b4 0x004073b4 10  11   .text   ascii     VirtuaPH
415  0x000065bf 0x004073bf 7   8    .text   ascii   section
416  0x000065ca 0x004073ca 10  11   .text   ascii   o image-PH
417  0x000065d5 0x004073d5 10  11   .text   ascii   %p has nPH
418  0x000065e0 0x004073e0 9   10   .text   ascii   Address P
419  0x000065f1 0x004073f1 10  11   .text   ascii   e failurPH
420  0x000065fc 0x004073fc 10  11   .text   ascii   4 runtimPH
421  0x00006607 0x00407407 9   10   .text   ascii   Mingw-w6P
422  0x0000666c 0x0040746c 4   9    .text   utf16le  %lu
423  0x00006677 0x00407477 4   9    .text   utf16le ] E:
424  0x000066a3 0x004074a3 4   9    .text   utf16le ----
425  0x000066ae 0x004074ae 4   9    .text   utf16le ----
426  0x000066b9 0x004074b9 4   9    .text   utf16le ----
427  0x000066c4 0x004074c4 4   9    .text   utf16le ----
428  0x000066cf 0x004074cf 4   9    .text   utf16le ----
429  0x000066da 0x004074da 4   9    .text   utf16le ----
430  0x000066e5 0x004074e5 4   9    .text   utf16le ----
431  0x000066f0 0x004074f0 4   9    .text   utf16le ----
432  0x000066fb 0x004074fb 4   9    .text   utf16le ----
433  0x00006706 0x00407506 4   9    .text   utf16le ----
434  0x00006711 0x00407511 4   9    .text   utf16le ----
435  0x0000671c 0x0040751c 4   9    .text   utf16le ----
436  0x00006727 0x00407527 4   9    .text   utf16le ----
437  0x00006732 0x00407532 4   9    .text   utf16le ----
438  0x0000673d 0x0040753d 4   9    .text   utf16le ----
439  0x00006748 0x00407548 4   9    .text   utf16le ----
440  0x0000675e 0x0040755e 4   9    .text   utf16le -%S\n
441  0x00006769 0x00407569 4   9    .text   utf16le ]-<>
442  0x00006774 0x00407574 4   9    .text   utf16le [SMB
443  0x0000678b 0x0040758b 4   9    .text   utf16le  %S\n
444  0x00006796 0x00407596 4   9    .text   utf16le pped
445  0x000067a1 0x004075a1 4   9    .text   utf16le  Dro
446  0x000067c2 0x004075c2 4   9    .text   utf16le --+\n
447  0x000067cd 0x004075cd 4   9    .text   utf16le ----
448  0x000067d8 0x004075d8 4   9    .text   utf16le ----
449  0x000067e3 0x004075e3 4   9    .text   utf16le ----
450  0x000067ee 0x004075ee 4   9    .text   utf16le ----
451  0x000067f9 0x004075f9 4   9    .text   utf16le ----
452  0x00006804 0x00407604 4   9    .text   utf16le ----
453  0x0000680f 0x0040760f 4   9    .text   utf16le ----
454  0x0000681a 0x0040761a 4   9    .text   utf16le ----
455  0x00006825 0x00407625 4   9    .text   utf16le ----
456  0x00006830 0x00407630 4   9    .text   utf16le ----
457  0x0000683b 0x0040763b 4   9    .text   utf16le ----
458  0x00006846 0x00407646 4   9    .text   utf16le ----
459  0x00006851 0x00407651 4   9    .text   utf16le ----
460  0x0000685c 0x0040765c 4   9    .text   utf16le ----
461  0x00006867 0x00407667 4   9    .text   utf16le ----
462  0x00006872 0x00407672 4   9    .text   utf16le ----
463  0x00006888 0x00407688 4   9    .text   utf16le d %S
464  0x00006893 0x00407693 4   9    .text   utf16le lose
465  0x0000689e 0x0040769e 4   9    .text   utf16le -] C
466  0x000068d5 0x004076d5 5   6    .text   ascii   %s%ls
467  0x000068e0 0x004076e0 9   10   .text   ascii   %ls%s%lsP
468  0x000068ea 0x004076ea 6   7    .text   ascii   yMBFPH
469  0x000068f1 0x004076f1 10  11   .text   ascii   m/3#M?:XPH
470  0x00006900 0x00407700 6   7    .text   ascii   bYXJPH
471  0x00006907 0x00407707 4   9    .text   utf16le %d%l
472  0x00006912 0x00407712 4   9    .text   utf16le s%ls
473  0x0000691d 0x0040771d 4   9    .text   utf16le ls%l
474  0x00006928 0x00407728 4   9    .text   utf16le %ls%
475  0x00006933 0x00407733 4   9    .text   utf16le s%ls
476  0x0000693e 0x0040773e 4   9    .text   utf16le ls%l
477  0x00006949 0x00407749 4   9    .text   utf16le %ls%
478  0x00006954 0x00407754 4   9    .text   utf16le s%ls
479  0x0000695f 0x0040775f 4   9    .text   utf16le ls%l
480  0x0000696a 0x0040776a 4   9    .text   utf16le %ls%
481  0x00006980 0x00407780 4   9    .text   utf16le %ls,
482  0x000069ac 0x004077ac 4   9    .text   utf16le s%S%
483  0x000069bd 0x004077bd 4   5    .text   ascii   %lPH
484  0x000069c2 0x004077c2 4   9    .text   utf16le %ls%
485  0x000069cd 0x004077cd 4   9    .text   utf16le S%ls
486  0x000069d8 0x004077d8 4   9    .text   utf16le %ls%
487  0x000069ee 0x004077ee 4   9    .text   utf16le S%ls
488  0x000069f9 0x004077f9 4   9    .text   utf16le %ls%
489  0x00006a10 0x00407810 4   9    .text   utf16le POST
490  0x00006a31 0x00407831 4   9    .text   utf16le u%ls
491  0x00006a3c 0x0040783c 4   9    .text   utf16le ls%l
492  0x00006a47 0x00407847 4   9    .text   utf16le s%S%
493  0x00006a52 0x00407852 4   9    .text   utf16le %S%l
494  0x00006a5d 0x0040785d 4   9    .text   utf16le S%ls
495  0x00006a68 0x00407868 4   9    .text   utf16le %ls%
496  0x00006a7e 0x0040787e 4   9    .text   utf16le T\CI
497  0x00006ab5 0x004078b5 4   9    .text   utf16le ize"
498  0x00006ac0 0x004078c0 4   9    .text   utf16le "dfs
499  0x00006ad6 0x004078d6 4   9    .text   utf16le me":
500  0x00006ae1 0x004078e1 4   9    .text   utf16le dfna
501  0x00006af7 0x004078f7 4   9    .text   utf16le n":"
502  0x00006b02 0x00407902 4   9    .text   utf16le chki
503  0x00006b0d 0x0040790d 4   9    .text   utf16le ":{"
504  0x00006b18 0x00407918 4   9    .text   utf16le ,"dt
505  0x00006b2e 0x0040792e 4   9    .text   utf16le "}}\r
506  0x00006b44 0x00407944 4   9    .text   utf16le "pid
507  0x00006b5a 0x0040795a 4   9    .text   utf16le id":
508  0x00006b65 0x00407965 4   9    .text   utf16le ","u
509  0x00006b7b 0x0040797b 4   9    .text   utf16le name
510  0x00006b86 0x00407986 4   9    .text   utf16le ,"p_
511  0x00006b9c 0x0040799c 4   9    .text   utf16le ver"
512  0x00006ba7 0x004079a7 4   9    .text   utf16le ","w
513  0x00006bbd 0x004079bd 4   9    .text   utf16le name
514  0x00006bc8 0x004079c8 4   9    .text   utf16le {"h_
515  0x00006bd3 0x004079d3 4   9    .text   utf16le dt":
516  0x00006bde 0x004079de 4   9    .text   utf16le ,"mt
517  0x00006bf4 0x004079f4 4   9    .text   utf16le th":
518  0x00006bff 0x004079ff 4   9    .text   utf16le {"au
519  0x00006c0a 0x00407a0a 4   9    .text   utf16le ds":
520  0x00006c20 0x00407a20 4   9    .text   utf16le d":"
521  0x00006c2b 0x00407a2b 4   9    .text   utf16le ,"bl
522  0x00006c36 0x00407a36 4   9    .text   utf16le x64"
523  0x00006c41 0x00407a41 4   9    .text   utf16le h":"
524  0x00006c4c 0x00407a4c 4   9    .text   utf16le "arc
525  0x00006c78 0x00407a78 10  11   .text   ascii   M?:XyMBFPH
526  0x00006c83 0x00407a83 9   10   .text   ascii   bYXJm/3#P
527  0x00006cab 0x00407aab 4   9    .text   utf16le d]\n%
528  0x00006cb6 0x00407ab6 4   9    .text   utf16le E: %
529  0x00006cc1 0x00407ac1 4   9    .text   utf16le ed [
530  0x00006ccc 0x00407acc 4   9    .text   utf16le fail
531  0x00006cd7 0x00407ad7 4   9    .text   utf16le oad 
532  0x00006ce2 0x00407ae2 4   9    .text   utf16le ownl
533  0x00006ced 0x00407aed 4   9    .text   utf16le -] D
534  0x00006d03 0x00407b03 4   9    .text   utf16le te\n%
535  0x00006d0e 0x00407b0e 4   9    .text   utf16le mple
536  0x00006d19 0x00407b19 4   9    .text   utf16le d co
537  0x00006d24 0x00407b24 4   9    .text   utf16le nloa
538  0x00006d2f 0x00407b2f 4   9    .text   utf16le  Dow
539  0x00006d45 0x00407b45 4   9    .text   utf16le %%)\n
540  0x00006d50 0x00407b50 4   9    .text   utf16le .2f 
541  0x00006d5b 0x00407b5b 4   9    .text   utf16le  (%0
542  0x00006d66 0x00407b66 4   9    .text   utf16le s %S
543  0x00006d71 0x00407b71 4   9    .text   utf16le tatu
544  0x00006d7c 0x00407b7c 4   9    .text   utf16le ad S
545  0x00006d87 0x00407b87 4   9    .text   utf16le wnlo
546  0x00006d92 0x00407b92 4   9    .text   utf16le ] Do
547  0x00006da8 0x00407ba8 4   9    .text   utf16le d\n%l
548  0x00006db3 0x00407bb3 4   9    .text   utf16le E: %
549  0x00006dbe 0x00407bbe 4   9    .text   utf16le [-] 
550  0x00006dd4 0x00407bd4 4   9    .text   utf16le ----
551  0x00006ddf 0x00407bdf 4   9    .text   utf16le ----
552  0x00006dea 0x00407bea 4   9    .text   utf16le ----
553  0x00006df5 0x00407bf5 4   9    .text   utf16le ----
554  0x00006e00 0x00407c00 4   9    .text   utf16le ----
555  0x00006e0b 0x00407c0b 4   9    .text   utf16le ----
556  0x00006e16 0x00407c16 4   9    .text   utf16le ----
557  0x00006e21 0x00407c21 4   9    .text   utf16le ----
558  0x00006e2c 0x00407c2c 4   9    .text   utf16le ----
559  0x00006e37 0x00407c37 4   9    .text   utf16le ----
560  0x00006e42 0x00407c42 4   9    .text   utf16le ----
561  0x00006e4d 0x00407c4d 4   9    .text   utf16le ----
562  0x00006e58 0x00407c58 4   9    .text   utf16le ----
563  0x00006e63 0x00407c63 4   9    .text   utf16le ----
564  0x00006e6e 0x00407c6e 4   9    .text   utf16le ----
565  0x00006e79 0x00407c79 4   9    .text   utf16le ----
566  0x00006e8f 0x00407c8f 4   9    .text   utf16le \n%ls
567  0x00006e9a 0x00407c9a 4   9    .text   utf16le : %S
568  0x00006ea5 0x00407ca5 4   9    .text   utf16le aded
569  0x00006eb0 0x00407cb0 4   9    .text   utf16le wnlo
570  0x00006ebb 0x00407cbb 4   9    .text   utf16le t do
571  0x00006ec6 0x00407cc6 4   9    .text   utf16le nsho
572  0x00006ed1 0x00407cd1 4   9    .text   utf16le cree
573  0x00006edc 0x00407cdc 4   9    .text   utf16le +] S
574  0x00006ef2 0x00407cf2 4   9    .text   utf16le 05e7
575  0x00006efd 0x00407cfd 4   9    .text   utf16le b351
576  0x00006f08 0x00407d08 4   9    .text   utf16le d-5d
577  0x00006f13 0x00407d13 4   9    .text   utf16le -9cd
578  0x00006f1e 0x00407d1e 4   9    .text   utf16le 452d
579  0x00006f29 0x00407d29 4   9    .text   utf16le a4a-
580  0x00006f34 0x00407d34 4   9    .text   utf16le b5-f
581  0x00006f3f 0x00407d3f 4   9    .text   utf16le 5be4
582  0x00006f55 0x00407d55 4   9    .text   utf16le e/pn
583  0x00006f60 0x00407d60 4   9    .text   utf16le imag
584  0x00006f6b 0x00407d6b 6   7    .text   ascii   2d.png
585  0x00006f76 0x00407d76 10  11   .text   ascii   02d%2d%0PH
586  0x00006f81 0x00407d81 10  11   .text   ascii   %d_%02d%PH
587  0x00006f8c 0x00407d8c 9   10   .text   ascii   %02d%02dP
588  0x00006fa3 0x00407da3 4   9    .text   utf16le %ls\n
589  0x00006fae 0x00407dae 4   9    .text   utf16le ng: 
590  0x00006fb9 0x00407db9 4   9    .text   utf16le eryi
591  0x00006fc4 0x00407dc4 4   9    .text   utf16le ] Qu
592  0x00006fda 0x00407dda 4   9    .text   utf16le ://%
593  0x00006fe5 0x00407de5 4   9    .text   utf16le LDAP
594  0x00006ffb 0x00407dfb 4   9    .text   utf16le otDS
595  0x00007006 0x00407e06 4   9    .text   utf16le //ro
596  0x00007011 0x00407e11 4   9    .text   utf16le DAP:
597  0x0000701c 0x00407e1c 4   9    .text   utf16le g: L
598  0x00007027 0x00407e27 4   9    .text   utf16le ndin
599  0x00007032 0x00407e32 4   9    .text   utf16le r bi
600  0x0000703d 0x00407e3d 4   9    .text   utf16le Erro
601  0x00007048 0x00407e48 4   9    .text   utf16le [-] 
602  0x0000705e 0x00407e5e 4   9    .text   utf16le P://
603  0x00007074 0x00407e74 4   9    .text   utf16le text
604  0x0000707f 0x00407e7f 4   9    .text   utf16le gCon
605  0x0000708a 0x00407e8a 4   9    .text   utf16le amin
606  0x00007095 0x00407e95 4   9    .text   utf16le ultN
607  0x000070a0 0x00407ea0 4   9    .text   utf16le defa
608  0x000070b6 0x00407eb6 4   9    .text   utf16le root
609  0x000070c1 0x00407ec1 4   9    .text   utf16le P://
610  0x000070d7 0x00407ed7 4   9    .text   utf16le gue\n
611  0x000070e2 0x00407ee2 4   9    .text   utf16le talo
612  0x000070ed 0x00407eed 4   9    .text   utf16le l Ca
613  0x000070f8 0x00407ef8 4   9    .text   utf16le loba
614  0x00007103 0x00407f03 4   9    .text   utf16le g: G
615  0x0000710e 0x00407f0e 4   9    .text   utf16le ndin
616  0x00007119 0x00407f19 4   9    .text   utf16le r bi
617  0x00007124 0x00407f24 4   9    .text   utf16le Erro
618  0x0000712f 0x00407f2f 4   9    .text   utf16le [-] 
619  0x00007145 0x00407f45 4   9    .text   utf16le g ld
620  0x00007150 0x00407f50 4   9    .text   utf16le ndin
621  0x0000715b 0x00407f5b 4   9    .text   utf16le r bi
622  0x00007166 0x00407f66 4   9    .text   utf16le Erro
623  0x00007171 0x00407f71 8   18   .text   utf16le [-] 䡐䞸䌀㨀 blocks=Basic Latin,CJK Unified Ideographs Extension A
624  0x00007192 0x00407f92 4   9    .text   utf16le alog
625  0x0000719d 0x00407f9d 4   9    .text   utf16le  Cat
626  0x000071a8 0x00407fa8 4   9    .text   utf16le obal
627  0x000071b3 0x00407fb3 4   9    .text   utf16le : Gl
628  0x000071be 0x00407fbe 4   9    .text   utf16le ying
629  0x000071c9 0x00407fc9 4   9    .text   utf16le Quer
630  0x000071d4 0x00407fd4 4   9    .text   utf16le [*] 
631  0x000071df 0x00407fdf 6   7    .text   ascii   :XyMBF
632  0x000071ea 0x00407fea 10  11   .text   ascii   XJm/3#M?PH
633  0x000071fb 0x00407ffb 4   5    .text   ascii   bYPH
634  0x0000720b 0x0040800b 4   9    .text   utf16le ----
635  0x00007216 0x00408016 4   9    .text   utf16le ----
636  0x00007221 0x00408021 4   9    .text   utf16le ----
637  0x0000722c 0x0040802c 4   9    .text   utf16le ----
638  0x00007237 0x00408037 4   9    .text   utf16le ----
639  0x00007242 0x00408042 4   9    .text   utf16le ----
640  0x0000724d 0x0040804d 4   9    .text   utf16le ----
641  0x00007258 0x00408058 4   9    .text   utf16le ----
642  0x00007263 0x00408063 4   9    .text   utf16le ----
643  0x0000726e 0x0040806e 4   9    .text   utf16le ----
644  0x00007279 0x00408079 4   9    .text   utf16le ----
645  0x00007284 0x00408084 4   9    .text   utf16le ----
646  0x0000728f 0x0040808f 4   9    .text   utf16le ----
647  0x0000729a 0x0040809a 4   9    .text   utf16le ----
648  0x000072a5 0x004080a5 4   9    .text   utf16le ----
649  0x000072b0 0x004080b0 4   9    .text   utf16le ----
650  0x000072bb 0x004080bb 4   9    .text   utf16le +---
651  0x00007355 0x00408155 4   9    .text   utf16le %d.\n
652  0x00007360 0x00408160 4   9    .text   utf16le ype 
653  0x0000736b 0x0040816b 4   9    .text   utf16le wn t
654  0x00007376 0x00408176 4   9    .text   utf16le nkno
655  0x00007381 0x00408181 4   9    .text   utf16le !] U
656  0x00007397 0x00408197 4   9    .text   utf16le ptor
657  0x000073a2 0x004081a2 4   9    .text   utf16le scri
658  0x000073ad 0x004081ad 4   9    .text   utf16le y de
659  0x000073b8 0x004081b8 4   9    .text   utf16le urit
660  0x000073c3 0x004081c3 4   9    .text   utf16le  Sec
661  0x000073d9 0x004081d9 4   9    .text   utf16le %lu\n
662  0x000073e4 0x004081e4 4   9    .text   utf16le ow: 
663  0x000073ef 0x004081ef 4   9    .text   utf16le lu l
664  0x000073fa 0x004081fa 4   9    .text   utf16le h: %
665  0x00007410 0x00408210 4   9    .text   utf16le es.\n
666  0x0000741b 0x0040821b 4   9    .text   utf16le xpir
667  0x00007426 0x00408226 4   9    .text   utf16le er E
668  0x0000743c 0x0040823c 4   9    .text   utf16le tSet
669  0x00007447 0x00408247 4   9    .text   utf16le dLas
670  0x0000745d 0x0040825d 4   9    .text   utf16le tTim
671  0x00007468 0x00408268 4   9    .text   utf16le ckou
672  0x0000747e 0x0040827e 4   9    .text   utf16le ogof
673  0x00007489 0x00408289 4   9    .text   utf16le astL
674  0x0000749f 0x0040829f 4   9    .text   utf16le tLog
675  0x000074b5 0x004082b5 4   9    .text   utf16le Time
676  0x000074c0 0x004082c0 4   9    .text   utf16le word
677  0x000074cb 0x004082cb 4   9    .text   utf16le Pass
678  0x000074e1 0x004082e1 4   9    .text   utf16le ires
679  0x000074ec 0x004082ec 4   9    .text   utf16le tExp
680  0x000074f7 0x004082f7 4   9    .text   utf16le coun
681  0x0000750d 0x0040830d 4   9    .text   utf16le set.
682  0x00007518 0x00408318 4   9    .text   utf16le lue 
683  0x00007523 0x00408323 4   9    .text   utf16le o va
684  0x00007539 0x00408339 4   9    .text   utf16le ctGU
685  0x00007544 0x00408344 4   9    .text   utf16le obje
686  0x0000755a 0x0040835a 4   9    .text   utf16le ject
687  0x0000757b 0x0040837b 4   9    .text   utf16le %lu\n
688  0x00007586 0x00408386 4   9    .text   utf16le   - 
689  0x0000759c 0x0040839c 4   9    .text   utf16le nabl
690  0x000075a7 0x004083a7 4   9    .text   utf16le nt e
691  0x000075b2 0x004083b2 4   9    .text   utf16le ccou
692  0x000075bd 0x004083bd 4   9    .text   utf16le  - a
693  0x000075d3 0x004083d3 4   9    .text   utf16le able
694  0x000075de 0x004083de 4   9    .text   utf16le  dis
695  0x000075e9 0x004083e9 4   9    .text   utf16le ount
696  0x000075f4 0x004083f4 4   9    .text   utf16le  acc
697  0x0000760a 0x0040840a 4   9    .text   utf16le ns:\n
698  0x00007615 0x00408415 4   9    .text   utf16le ptio
699  0x00007620 0x00408420 4   9    .text   utf16le nt o
700  0x0000762b 0x0040842b 4   9    .text   utf16le ccou
701  0x00007636 0x00408436 4   9    .text   utf16le +] A
702  0x0000764c 0x0040844c 4   9    .text   utf16le :%02
703  0x00007657 0x00408457 4   9    .text   utf16le %02d
704  0x00007662 0x00408462 4   9    .text   utf16le 02d:
705  0x0000766d 0x0040846d 4   9    .text   utf16le 2d %
706  0x00007678 0x00408478 4   9    .text   utf16le d-%0
707  0x00007683 0x00408483 4   9    .text   utf16le -%02
708  0x0000768e 0x0040848e 4   9    .text   utf16le %02d
709  0x00007699 0x00408499 4   9    .text   utf16le at: 
710  0x000076a4 0x004084a4 4   9    .text   utf16le res 
711  0x000076af 0x004084af 4   9    .text   utf16le expi
712  0x000076ba 0x004084ba 4   9    .text   utf16le ord 
713  0x000076c5 0x004084c5 4   9    .text   utf16le assw
714  0x000076d0 0x004084d0 4   9    .text   utf16le  - p
715  0x000076e6 0x004084e6 4   9    .text   utf16le pire
716  0x000076f1 0x004084f1 4   9    .text   utf16le r ex
717  0x000076fc 0x004084fc 4   9    .text   utf16le neve
718  0x00007707 0x00408507 4   9    .text   utf16le ord 
719  0x00007712 0x00408512 4   9    .text   utf16le assw
720  0x0000771d 0x0040851d 4   9    .text   utf16le  - p
721  0x00007733 0x00408533 4   9    .text   utf16le ings
722  0x0000773e 0x0040853e 4   9    .text   utf16le sett
723  0x00007749 0x00408549 4   9    .text   utf16le ire 
724  0x00007754 0x00408554 4   9    .text   utf16le  exp
725  0x0000775f 0x0040855f 4   9    .text   utf16le word
726  0x0000776a 0x0040856a 4   9    .text   utf16le Pass
727  0x00007775 0x00408575 4   9    .text   utf16le [+] 
728  0x0000778b 0x0040858b 4   9    .text   utf16le ADsP
729  0x000077ac 0x004085ac 4   9    .text   utf16le - %l
730  0x000077c2 0x004085c2 4   9    .text   utf16le embe
731  0x000077d8 0x004085d8 4   9    .text   utf16le  %ls
732  0x000077ee 0x004085ee 4   9    .text   utf16le ls:\n
733  0x000077f9 0x004085f9 4   9    .text   utf16le +] %
734  0x0000781a 0x0040861a 4   9    .text   utf16le TRUE
735  0x0000783d 0x0040863d 4   9    .text   utf16le 0lx\n
736  0x00007848 0x00408648 4   9    .text   utf16le  0x%
737  0x00007853 0x00408653 4   9    .text   utf16le ] E:
738  0x00007869 0x00408669 4   9    .text   utf16le ired
739  0x00007874 0x00408674 4   9    .text   utf16le requ
740  0x0000787f 0x0040867f 4   9    .text   utf16le not 
741  0x0000788a 0x0040868a 4   9    .text   utf16le ing 
742  0x00007895 0x00408695 4   9    .text   utf16le atch
743  0x000078a0 0x004086a0 4   9    .text   utf16le SI p
744  0x000078ab 0x004086ab 4   9    .text   utf16le ] AM
745  0x000078c1 0x004086c1 4   9    .text   utf16le AMSI
746  0x000078cc 0x004086cc 4   9    .text   utf16le tch 
747  0x000078d7 0x004086d7 4   9    .text   utf16le o pa
748  0x000078e2 0x004086e2 4   9    .text   utf16le le t
749  0x000078ed 0x004086ed 4   9    .text   utf16le Unab
750  0x000078f8 0x004086f8 4   9    .text   utf16le [-] 
751  0x0000790e 0x0040870e 4   9    .text   utf16le d AM
752  0x00007919 0x00408719 4   9    .text   utf16le tche
753  0x00007924 0x00408724 4   9    .text   utf16le ] Pa
