ii 592 64
[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
302   0x00003eb5 0x00003e75 5    6            ascii   Tl<u:
303   0x00003ed1 0x00003e91 7    8            ascii   }s,i#^m
304   0x00003f5e 0x00003f1e 5    6            ascii   H_!TV
305   0x00003f82 0x00003f42 5    6            ascii   Rw3\aQ
306   0x00003fc7 0x00003f87 4    5            ascii   C/x\e
307   0x00003fe3 0x00003fa3 4    5            ascii   \ab =
308   0x00003fea 0x00003faa 5    8            utf8    Aqݭe| blocks=Basic Latin,Arabic Supplement
309   0x00003ff4 0x00003fb4 4    5            ascii   y^#s
310   0x00004045 0x00004005 9    10           ascii   V)Y{$*Nu[
311   0x0000404f 0x0000400f 5    8            utf8    ҳK:Hg blocks=Cyrillic,Basic Latin
312   0x000040ce 0x0000408e 4    5            ascii   q1s:
313   0x0000412f 0x000040ef 8    9            ascii   QGsn^R3\r
314   0x00004141 0x00004101 4    6            utf8    р'K\v blocks=Cyrillic,Basic Latin
315   0x0000421a 0x000041da 6    9            utf8    L3Uvʨݣ blocks=Basic Latin,IPA Extensions,Arabic Supplement
316   0x0000422f 0x000041ef 6    7            ascii   PX.[G$
317   0x0000423c 0x000041fc 6    7            ascii   \ey\bRg*
318   0x0000424a 0x0000420a 6    12           utf8    鋖|a濏ٚ0 blocks=CJK Unified Ideographs,Basic Latin,Arabic
319   0x0000425f 0x0000421f 5    6            ascii   +!KI^
320   0x0000426a 0x0000422a 5    6            ascii   EPNss
321   0x0000428f 0x0000424f 4    5            ascii   yT41
322   0x0000429a 0x0000425a 4    5            ascii   *D8|
323   0x000042a6 0x00004266 5    6            ascii   b7f]9
324   0x000042db 0x0000429b 6    7            ascii   zN9 RM
325   0x0000432a 0x000042ea 6    7            ascii   Ht,6V`
326   0x0000439a 0x0000435a 4    6            utf8    ۺ'3Q blocks=Arabic,Basic Latin
327   0x000043bc 0x0000437c 4    5            ascii   z :1
328   0x000043d5 0x00004395 4    5            ascii    A\r'
329   0x000044a2 0x00004462 4    7            utf8    ;۷c߈ blocks=Basic Latin,Arabic,NKo
330   0x000044b6 0x00004476 4    5            ascii   \bT\nS
331   0x00004543 0x00004503 4    5            ascii   'l_\n
332   0x00004553 0x00004513 4    5            ascii   h\eB0
333   0x00004575 0x00004535 5    7            utf8    ~\u٬V blocks=Basic Latin,Arabic
334   0x00004593 0x00004553 4    6            utf8    ާDV\t blocks=Thaana,Basic Latin
335   0x000045ac 0x0000456c 4    5            ascii   ]$\eO
336   0x000045d3 0x00004593 6    8            utf8    [/%Cܚb blocks=Basic Latin,Syriac
337   0x0000460e 0x000045ce 4    5            ascii   Q}FJ
338   0x0000461d 0x000045dd 4    7            utf8    Yt㝇8 blocks=Basic Latin,CJK Unified Ideographs Extension A
339   0x0000464b 0x0000460b 4    5            ascii   2Ya!
340   0x00004694 0x00004654 6    8            utf8    RIocݩo blocks=Basic Latin,Arabic Supplement
341   0x000046cf 0x0000468f 4    5            ascii   h(G1
342   0x000046da 0x0000469a 6    8            utf8    I,q9\݅ blocks=Basic Latin,Syriac
343   0x0000472f 0x000046ef 8    11           utf8    \tĒسAC7x* blocks=Basic Latin,Latin Extended-A,Arabic
344   0x00004787 0x00004747 6    8            utf8    \bJ߳Rc@ blocks=Basic Latin,NKo
345   0x000047f3 0x000047b3 5    8            utf8    ĸ-ƫyS blocks=Latin Extended-A,Basic Latin,Latin Extended-B
346   0x00004800 0x000047c0 4    5            ascii   XtLz
347   0x00004827 0x000047e7 4    5            ascii   -fiY
348   0x00004831 0x000047f1 5    6            ascii   J:3VC
349   0x00004898 0x00004858 6    8            utf8    -' ż#a blocks=Basic Latin,Latin Extended-A
350   0x000048a6 0x00004866 6    8            utf8     kIL\v۶ blocks=Basic Latin,Arabic
351   0x000048b4 0x00004874 7    8            ascii   B"n;4a\r
352   0x00004934 0x000048f4 6    7            ascii   \fdC3v.
353   0x0000494b 0x0000490b 6    11           utf8    珨;߈">b blocks=CJK Unified Ideographs,Basic Latin,NKo
354   0x00004970 0x00004930 4    5            ascii   wJXZ
355   0x000049ab 0x0000496b 4    5            ascii   .,:Y
356   0x000049bd 0x0000497d 4    5            ascii   \n0<"
357   0x000049d5 0x00004995 4    5            ascii   <ENt
358   0x000049eb 0x000049ab 6    9            utf8    eU⨸;<k blocks=Basic Latin,Supplemental Mathematical Operators
359   0x00004a06 0x000049c6 4    5            ascii   \t.s
360   0x00004a14 0x000049d4 4    5            ascii   PzP]
361   0x00004a1d 0x000049dd 5    6            ascii   W{\f~M
362   0x00004a7a 0x00004a3a 4    5            ascii   b\bGn
363   0x00004a85 0x00004a45 7    8            ascii   KCRRd9/
364   0x00004add 0x00004a9d 4    5            ascii   8Jyl
365   0x00004af4 0x00004ab4 4    6            utf8    >=3» blocks=Basic Latin,Latin-1 Supplement
366   0x00004b0a 0x00004aca 4    5            ascii   K-Q]
367   0x00004b21 0x00004ae1 4    6            utf8    я!`: blocks=Cyrillic,Basic Latin
