[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
373  0x00007f03 0x00408b03 4   5    .text   ascii   Q]YG
374  0x00007f51 0x00408b51 5   6    .text   ascii   @@@@C
375  0x00007f9c 0x00408b9c 4   5    .text   ascii   ]QUh
376  0x00007fe8 0x00408be8 4   5    .text   ascii   \f]YZ
377  0x0000804d 0x00408c4d 4   5    .text   ascii   RWhn
378  0x00008079 0x00408c79 4   5    .text   ascii   \f_ZY
379  0x000080e1 0x00408ce1 4   5    .text   ascii   WVh;
380  0x000081cf 0x00408dcf 4   6    .text   utf8    ZX]û blocks=Basic Latin,Latin-1 Supplement
381  0x0000820f 0x00408e0f 4   5    .text   ascii   _SWh
382  0x00008250 0x00408e50 4   5    .text   ascii   SWhu
383  0x000082a4 0x00408ea4 4   5    .text   ascii   _QWh
384  0x000082ef 0x00408eef 4   5    .text   ascii   \f_YX
385  0x0000837a 0x00408f7a 4   5    .text   ascii   SPh@
386  0x000083a9 0x00408fa9 4   5    .text   ascii   \fX[Z
