[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
288  0x0000714c 0x00407b4c 6   7    .text   ascii   E\bPSVW
289  0x00007265 0x00407c65 5   6    .text   ascii   dSVWh
290  0x000072c9 0x00407cc9 5   6    .text   ascii   CrypP
291  0x000072d1 0x00407cd1 4   5    .text   ascii   tGen
292  0x000072d8 0x00407cd8 5   6    .text   ascii   Randf
293  0x000072e9 0x00407ce9 4   5    .text   ascii   Adva
294  0x000072f0 0x00407cf0 4   5    .text   ascii   pi32
295  0x000072f7 0x00407cf7 4   5    .text   ascii   .dll
296  0x00007324 0x00407d24 4   5    .text   ascii   t8VW
297  0x0000732f 0x00407d2f 4   6    .text   utf8    t-3Ʌ blocks=Basic Latin,Latin Extended-B
298  0x000073b5 0x00407db5 5   6    .text   ascii   8SVWh
299  0x000073de 0x00407dde 4   6    .text   utf8    3ɍAa blocks=Basic Latin,Latin Extended-B
300  0x00007417 0x00407e17 5   6    .text   ascii   CrypP
301  0x0000741f 0x00407e1f 4   5    .text   ascii   tGen
302  0x00007426 0x00407e26 5   6    .text   ascii   Randf
303  0x00007437 0x00407e37 4   5    .text   ascii   Adva
304  0x0000743e 0x00407e3e 4   5    .text   ascii   pi32
305  0x00007445 0x00407e45 4   5    .text   ascii   .dll
306  0x00007569 0x00407f69 4   6    .text   utf8    3KM\f
307  0x00007577 0x00407f77 4   6    .text   utf8    3ȋE\f blocks=Basic Latin,Latin Extended-B
308  0x00007585 0x00407f85 4   6    .text   utf8    3KM\f
309  0x00007591 0x00407f91 4   5    .text   ascii   E\b3E
310  0x000075db 0x00407fdb 4   6    .text   utf8    3߉P0 blocks=Basic Latin,NKo
311  0x00007626 0x00408026 4   6    .text   utf8    3KM\f
312  0x00007634 0x00408034 4   6    .text   utf8    3ȋE\f blocks=Basic Latin,Latin Extended-B
313  0x00007642 0x00408042 4   6    .text   utf8    3KM\f
314  0x0000764e 0x0040804e 4   5    .text   ascii   E\b3E
315  0x00007698 0x00408098 4   6    .text   utf8    3߉PP blocks=Basic Latin,NKo
316  0x000076e3 0x004080e3 4   6    .text   utf8    3KM\f
317  0x000076f1 0x004080f1 4   6    .text   utf8    3ȋE\f blocks=Basic Latin,Latin Extended-B
318  0x000076ff 0x004080ff 4   6    .text   utf8    3KM\f
319  0x0000770b 0x0040810b 4   5    .text   ascii   E\b3E
320  0x00007755 0x00408155 4   6    .text   utf8    3߉Pp blocks=Basic Latin,NKo
321  0x000077a0 0x004081a0 4   6    .text   utf8    3KM\f
322  0x000077b1 0x004081b1 4   6    .text   utf8    3ȋE\f blocks=Basic Latin,Latin Extended-B
323  0x000077c2 0x004081c2 4   6    .text   utf8    3KM\f
324  0x000077d1 0x004081d1 4   5    .text   ascii   E\b3E
325  0x00007875 0x00408275 4   6    .text   utf8    3KM\f
326  0x00007886 0x00408286 4   6    .text   utf8    3ȋE\f blocks=Basic Latin,Latin Extended-B
327  0x00007897 0x00408297 4   6    .text   utf8    3KM\f
328  0x000078a6 0x004082a6 4   5    .text   ascii   E\b3E
329  0x0000794a 0x0040834a 4   6    .text   utf8    3KM\f
330  0x0000795b 0x0040835b 4   6    .text   utf8    3ȋE\f blocks=Basic Latin,Latin Extended-B
331  0x0000796c 0x0040836c 4   6    .text   utf8    3KM\f
332  0x0000797b 0x0040837b 4   5    .text   ascii   E\b3E
