Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
316  0x000054f8 0x004bf0f8 4   5    ...._1  ascii   Y_^[
317  0x000055a4 0x004bf1a4 4   5    ...._1  ascii   E\bVW
318  0x00005622 0x004bf222 4   5    ...._1  ascii   jih\b
319  0x000056d2 0x004bf2d2 4   7    ...._1  utf8    3ۙ3ɋ blocks=Basic Latin,Arabic,Latin Extended-B
320  0x000056f7 0x004bf2f7 4   5    ...._1  ascii   |$$u
321  0x00005702 0x004bf302 5   6    ...._1  ascii   w\a_^[
322  0x000057d8 0x004bf3d8 4   5    ...._1  ascii   \bSVW
323  0x0000582f 0x004bf42f 4   5    ...._1  ascii   Y_^[
324  0x00005858 0x004bf458 4   5    ...._1  ascii   \bSVW
325  0x000058af 0x004bf4af 4   5    ...._1  ascii   Y_^[
326  0x000058d8 0x004bf4d8 4   5    ...._1  ascii   \bSVW
327  0x00005929 0x004bf529 4   5    ...._1  ascii   Y_^[
328  0x00005958 0x004bf558 4   5    ...._1  ascii   \bSVW
329  0x000059b2 0x004bf5b2 4   5    ...._1  ascii   Y_^[
330  0x000059d8 0x004bf5d8 4   5    ...._1  ascii   \bSVW
331  0x00005a2a 0x004bf62a 4   5    ...._1  ascii   Y_^[
332  0x00005b0c 0x004bf70c 5   6    ...._1  ascii   t\vj\fV
333  0x00005b95 0x004bf795 4   5    ...._1  ascii   h*VK
334  0x00005bbd 0x004bf7bd 5   7    ...._1  utf8    u؋}\bj blocks=Basic Latin,Arabic
335  0x00005c85 0x004bf885 4   5    ...._1  ascii   hPVK
336  0x00005de8 0x004bf9e8 4   5    ...._1  ascii   \rH_O
337  0x00005def 0x004bf9ef 4   5    ...._1  ascii   \rH_O
338  0x00005ec8 0x004bfac8 7   8    ...._1  ascii   u\b;q\fs\f
339  0x00005ee8 0x004bfae8 5   6    ...._1  ascii   ;p\fs\v
340  0x000061c0 0x004bfdc0 6   9    ...._1  utf8    t\vj\bV覲 blocks=Basic Latin,CJK Unified Ideographs
341  0x00006284 0x004bfe84 5   6    ...._1  ascii   ;E\fu\a
342  0x00006360 0x004bff60 4   5    ...._1  ascii   r\rAQ
343  0x0000639e 0x004bff9e 5   7    ...._1  utf8    3ĉD$  blocks=Basic Latin,Latin Extended-A
344  0x000063ae 0x004bffae 5   7    ...._1  utf8    ̉t$4j blocks=Combining Diacritical Marks,Basic Latin
345  0x000063f5 0x004bfff5 4   6    ...._1  utf8    W\tL$
346  0x00006401 0x004c0001 4   5    ...._1  ascii   D$ P
347  0x00006815 0x004c0415 4   5    ...._1  ascii   \a4"L
348  0x00006865 0x004c0465 4   5    ...._1  ascii   \a4"L
349  0x0000687c 0x004c047c 4   5    ...._1  ascii   \a@"L
350  0x000068b5 0x004c04b5 4   5    ...._1  ascii   \a4"L
351  0x0000691f 0x004c051f 5   6    ...._1  ascii   t\vj8V
352  0x00006957 0x004c0557 5   6    ...._1  ascii   ~\bOu\t
353  0x00006978 0x004c0578 5   6    ...._1  ascii   \br\t@P
354  0x000069e5 0x004c05e5 4   5    ...._1  ascii   h<WK
355  0x000069f3 0x004c05f3 4   5    ...._1  ascii   \fSVW
356  0x00006a93 0x004c0693 5   6    ...._1  ascii   ^\bKu\a
357  0x00006aab 0x004c06ab 4   5    ...._1  ascii   Y_^[
358  0x00006ad0 0x004c06d0 4   5    ...._1  ascii   PSVW
359  0x00006b0a 0x004c070a 5   6    ...._1  ascii   _\bKu\a
360  0x00006b20 0x004c0720 5   6    ...._1  ascii   t\vj\fV
361  0x00006b39 0x004c0739 4   5    ...._1  ascii   Y_^[
