[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
316   0x00005d13 0x11006913 5   6    .text   ascii   Z3t$4
317   0x00005d1c 0x1100691c 4   5    .text   ascii   3t$X
318   0x00005d2f 0x1100692f 4   5    .text   ascii   3\$ 
319   0x00005d34 0x11006934 6   7    .text   ascii   t$43\$
320   0x00005d4c 0x1100694c 8   10   .text   utf8    ߋ|$L3|$H blocks=NKo,Basic Latin
321   0x00005d56 0x11006956 7   8    .text   ascii   t$l3|$<
322   0x00005d61 0x11006961 7   8    .text   ascii   3|$$3\$
323   0x00005d90 0x11006990 4   5    .text   ascii   3t$(
324   0x00005d98 0x11006998 5   6    .text   ascii   3t$D3
325   0x00005d9e 0x1100699e 8   9    .text   ascii   3t$,3l$l
326   0x00005dbe 0x110069be 4   5    .text   ascii   3|$0
327   0x00005dc3 0x110069c3 7   8    .text   ascii   t$D3|$H
328   0x00005dd0 0x110069d0 5   6    .text   ascii   n3|$4
329   0x00005e05 0x11006a05 8   10   .text   utf8    ދt$83t$( blocks=Thaana,Basic Latin
330   0x00005e12 0x11006a12 4   5    .text   ascii   3t$<
331   0x00005e18 0x11006a18 4   5    .text   ascii   3t$T
332   0x00005e1d 0x11006a1d 4   5    .text   ascii   |$l3
333   0x00005e27 0x11006a27 5   7    .text   utf8    ߋ|$ 3 blocks=NKo,Basic Latin
334   0x00005e46 0x11006a46 8   10   .text   utf8    ߋ|$@3|$0 blocks=NKo,Basic Latin
335   0x00005e53 0x11006a53 4   5    .text   ascii   3|$D
336   0x00005e59 0x11006a59 4   5    .text   ascii   3|$X
337   0x00005e8a 0x11006a8a 4   5    .text   ascii   3\$ 
338   0x00005e93 0x11006a93 10  11   .text   ascii   t$P3t$83\$
339   0x00005e9e 0x11006a9e 4   5    .text   ascii   3t$H
340   0x00005ea6 0x11006aa6 4   5    .text   ascii   3t$$
341   0x00005ec6 0x11006ac6 8   10   .text   utf8    ߋ|$L3|$@ blocks=NKo,Basic Latin
342   0x00005ed3 0x11006ad3 7   8    .text   ascii   3|$(3\$
343   0x00005edb 0x11006adb 7   8    .text   ascii   3|$,3\$
344   0x00005f0e 0x11006b0e 4   5    .text   ascii   3l$l
345   0x00005f14 0x11006b14 20  21   .text   ascii   3t$P3T$@3t$03T$D3t$4
346   0x00005f2f 0x11006b2f 4   5    .text   ascii   3T$T
347   0x00005f44 0x11006b44 4   5    .text   ascii   3|$L
348   0x00005f49 0x11006b49 19  20   .text   ascii   t$P3|$83L$P3|$<3L$H
349   0x00005f62 0x11006b62 5   6    .text   ascii   n3L$X
350   0x00005faa 0x11006baa 4   5    .text   ascii   t$ 3
351   0x00005fcb 0x11006bcb 4   6    .text   utf8    3ωT$ blocks=Basic Latin,Greek and Coptic
352   0x00005fec 0x11006bec 7   8    .text   ascii   L$L3L$(
353   0x00005ff6 0x11006bf6 4   5    .text   ascii   3L$$
