[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
313  0x000031c2 0x10041dc2 4   6    .upx1   utf8    @5ȴ\v blocks=Basic Latin,Latin Extended-B
314  0x00003209 0x10041e09 4   5    .upx1   ascii   G29K
315  0x00003259 0x10041e59 4   5    .upx1   ascii   rg\b'
316  0x00003277 0x10041e77 4   5    .upx1   ascii   N2ph
317  0x000032ab 0x10041eab 12  13   .upx1   ascii   LoadLibraryA
318  0x0000332d 0x10041f2d 4   6    .upx1   utf8    OǠ${ blocks=Basic Latin,Latin Extended-B
319  0x0000333b 0x10041f3b 4   6    .upx1   utf8    \ac٦L blocks=Basic Latin,Arabic
320  0x00003381 0x10041f81 6   9    .upx1   utf8    +Aꁕq5X blocks=Basic Latin,Yi Syllables
321  0x00003417 0x10042017 6   7    .upx1   ascii   "6'#E!
322  0x00003436 0x10042036 4   5    .upx1   ascii   GQ^4
323  0x0000343f 0x1004203f 6   7    .upx1   ascii   x$@Rl%
324  0x000034a5 0x100420a5 4   6    .upx1   utf8    ܸ (^ blocks=Syriac,Basic Latin
325  0x000034ac 0x100420ac 5   7    .upx1   utf8    w|ׂNW blocks=Basic Latin,Hebrew
326  0x00003509 0x10042109 4   5    .upx1   ascii   'LsF
327  0x00003541 0x10042141 6   8    .upx1   utf8    %@R©uc blocks=Basic Latin,Latin-1 Supplement
328  0x000035a8 0x100421a8 5   6    .upx1   ascii   %@RQ:
329  0x000035b9 0x100421b9 4   5    .upx1   ascii    6j\b
330  0x000035f5 0x100421f5 5   6    .upx1   ascii   T\r*["
331  0x000035fe 0x100421fe 4   5    .upx1   ascii   RL_e
332  0x00003607 0x10042207 5   7    .upx1   utf8    \fmvcʵ blocks=Basic Latin,Spacing Modifier Letters
333  0x0000361c 0x1004221c 4   5    .upx1   ascii   azD`
334  0x0000363a 0x1004223a 4   5    .upx1   ascii   uq0]
335  0x00003651 0x10042251 4   5    .upx1   ascii   (\\a-
336  0x00003676 0x10042276 4   5    .upx1   ascii   Z&@R
