[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
318  0x00004ce7 0x0040bae7 4   6    .rsrc   utf8    *ƃ3& blocks=Basic Latin,Latin Extended-B
319  0x00004d2b 0x0040bb2b 4   7    .rsrc   utf8    ?빁xL blocks=Basic Latin,Hangul Syllables
320  0x00004d39 0x0040bb39 5   6    .rsrc   ascii   sNjQ~
321  0x00004d56 0x0040bb56 4   5    .rsrc   ascii   Ml:f
322  0x00004d6c 0x0040bb6c 4   5    .rsrc   ascii   $IZs
323  0x00004dba 0x0040bbba 4   5    .rsrc   ascii   \v\aDb
324  0x00004dcb 0x0040bbcb 6   7    .rsrc   ascii   1R\a>MN
325  0x00004dd2 0x0040bbd2 4   5    .rsrc   ascii   ^\bS\v
326  0x00004de0 0x0040bbe0 4   6    .rsrc   utf8    \adƑc blocks=Basic Latin,Latin Extended-B
327  0x00004e1c 0x0040bc1c 4   6    .rsrc   utf8    34آ\ blocks=Basic Latin,Arabic
328  0x00004e2b 0x0040bc2b 4   5    .rsrc   ascii   \e70F
329  0x00004e64 0x0040bc64 7   8    .rsrc   ascii   b1\e[v6j
330  0x00004e7b 0x0040bc7b 4   5    .rsrc   ascii   R\ng-
331  0x00004f4b 0x0040bd4b 5   6    .rsrc   ascii   k+]VW
