[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
281  0x00006264 0x00406264 37  38   .rdata  ascii   R6025\r\n- pure virtual function call\r\n
282  0x0000628c 0x0040628c 52  53   .rdata  ascii   R6024\r\n- not enough space for _onexit/atexit table\r\n
283  0x000062c4 0x004062c4 40  41   .rdata  ascii   R6019\r\n- unable to open console device\r\n
284  0x000062f0 0x004062f0 32  33   .rdata  ascii   R6018\r\n- unexpected heap error\r\n
285  0x00006314 0x00406314 44  45   .rdata  ascii   R6017\r\n- unexpected multithread lock error\r\n
286  0x00006344 0x00406344 43  44   .rdata  ascii   R6016\r\n- not enough space for thread data\r\n
287  0x00006370 0x00406370 32  33   .rdata  ascii   \r\nabnormal program termination\r\n
288  0x00006394 0x00406394 43  44   .rdata  ascii   R6009\r\n- not enough space for environment\r\n
289  0x000063c0 0x004063c0 41  42   .rdata  ascii   R6008\r\n- not enough space for arguments\r\n
290  0x000063ec 0x004063ec 36  37   .rdata  ascii   R6002\r\n- floating point not loaded\r\n
291  0x00006414 0x00406414 36  37   .rdata  ascii   Microsoft Visual C++ Runtime Library
292  0x00006440 0x00406440 25  26   .rdata  ascii   Runtime Error!\n\nProgram: 
293  0x00006460 0x00406460 22  23   .rdata  ascii   <program name unknown>
294  0x0000648c 0x0040648c 18  19   .rdata  ascii   GetLastActivePopup
295  0x000064a0 0x004064a0 15  16   .rdata  ascii   GetActiveWindow
296  0x000064b0 0x004064b0 11  12   .rdata  ascii   MessageBoxA
297  0x000064bc 0x004064bc 10  11   .rdata  ascii   user32.dll
298  0x000065f2 0x004065f2 13  14   .rdata  ascii   GetVersionExA
299  0x00006602 0x00406602 11  12   .rdata  ascii   CloseHandle
300  0x00006610 0x00406610 9   10   .rdata  ascii   WriteFile
301  0x0000661c 0x0040661c 8   9    .rdata  ascii   ReadFile
302  0x00006628 0x00406628 14  15   .rdata  ascii   SetFilePointer
303  0x0000663a 0x0040663a 11  12   .rdata  ascii   CreateFileA
304  0x00006648 0x00406648 8   9    .rdata  ascii   lstrlenA
305  0x00006654 0x00406654 8   9    .rdata  ascii   lstrcatA
306  0x00006660 0x00406660 14  15   .rdata  ascii   GetProcAddress
307  0x00006672 0x00406672 12  13   .rdata  ascii   LoadLibraryA
308  0x00006682 0x00406682 11  12   .rdata  ascii   DeleteFileA
309  0x00006690 0x00406690 5   6    .rdata  ascii   Sleep
310  0x00006698 0x00406698 18  19   .rdata  ascii   GetModuleFileNameA
311  0x000066ae 0x004066ae 20  21   .rdata  ascii   GetCurrentDirectoryA
312  0x000066c4 0x004066c4 12  13   .rdata  ascii   KERNEL32.dll
313  0x000066d4 0x004066d4 13  14   .rdata  ascii   ShellExecuteA
314  0x000066e2 0x004066e2 11  12   .rdata  ascii   SHELL32.dll
315  0x000066f0 0x004066f0 16  17   .rdata  ascii   GetModuleHandleA
316  0x00006704 0x00406704 15  16   .rdata  ascii   GetStartupInfoA
317  0x00006716 0x00406716 15  16   .rdata  ascii   GetCommandLineA
318  0x00006728 0x00406728 10  11   .rdata  ascii   GetVersion
319  0x00006736 0x00406736 11  12   .rdata  ascii   ExitProcess
320  0x00006744 0x00406744 16  17   .rdata  ascii   TerminateProcess
321  0x00006758 0x00406758 17  18   .rdata  ascii   GetCurrentProcess
322  0x0000676c 0x0040676c 24  25   .rdata  ascii   UnhandledExceptionFilter
323  0x00006788 0x00406788 23  24   .rdata  ascii   FreeEnvironmentStringsA
324  0x000067a2 0x004067a2 23  24   .rdata  ascii   FreeEnvironmentStringsW
